year,journal,authorPosition,countrypred,genderpred,racepred,afftypepred
2022,Journal of Communication,1,US,F,White,Education
2022,Journal of Communication,2,US,F,Hispanic,Education
2022,Journal of Communication,1,DE,M,White,Education
2022,Journal of Communication,2,DE,F,White,Education
2022,Journal of Communication,1,AT,M,White,Education
2022,Journal of Communication,2,AT,M,White,Education
2022,Journal of Communication,1,US,M,White,Education
2022,Journal of Communication,2,US,M,White,Education
2022,Journal of Communication,3,SG,M,White,Education
2022,Journal of Communication,4,US,F,White,Education
2022,Journal of Communication,1,DE,M,White,Education
2022,Journal of Communication,1,US,M,White,Education
2022,Journal of Communication,2,US,M,Asian,Education
2022,Journal of Communication,3,US,F,White,Education
2022,Journal of Communication,4,US,M,White,Education
2022,Journal of Communication,1,CH,M,White,Education
2022,Journal of Communication,2,CH,F,Hispanic,Education
2022,Journal of Communication,3,CH,F,White,Education
2022,Journal of Communication,4,DE,M,White,Education
2022,Journal of Communication,5,DE,M,White,Education
2022,Journal of Communication,1,US,F,White,Education
2022,Journal of Communication,2,US,M,White,Education
2022,Journal of Communication,1,US,M,White,Education
2022,Journal of Communication,2,US,M,White,Education
2022,Journal of Communication,3,US,F,White,Education
2022,Journal of Communication,4,US,F,White,Education
2022,Journal of Communication,5,US,F,Asian,Education
2022,Journal of Communication,6,US,M,Asian,Education
2022,Journal of Communication,7,US,F,Asian,Education
2022,Journal of Communication,8,US,F,White,Education
2022,Journal of Communication,9,US,F,White,Education
2022,Journal of Communication,10,US,F,Asian,Education
2022,Journal of Communication,11,US,F,White,Education
2022,Journal of Communication,12,US,F,Asian,Education
2022,Journal of Communication,13,US,M,White,Education
2022,Journal of Communication,14,US,F,White,Education
2022,Journal of Communication,15,US,M,Asian,Education
2022,Journal of Communication,16,US,F,White,Education
2022,Journal of Communication,17,US,F,Asian,Education
2022,Journal of Communication,18,US,F,White,Education
2022,Journal of Communication,1,GB,M,White,Education
2022,Journal of Communication,2,GB,M,White,Education
2022,Journal of Communication,3,GB,M,White,Education
2022,Journal of Communication,1,US,F,White,Education
2022,Journal of Communication,2,US,F,Hispanic,Education
2022,Journal of Communication,1,US,M,White,Education
2022,Journal of Communication,2,US,M,White,Education
2022,Journal of Communication,3,FI,F,White,Education
2022,Journal of Communication,1,US,M,White,Education
2022,Journal of Communication,2,US,M,White,Education
2022,Journal of Communication,3,US,F,White,Education
2022,Journal of Communication,4,US,M,Asian,Education
2022,Journal of Communication,5,US,F,Black,Education
2022,Journal of Communication,6,US,F,Hispanic,Education
2022,Journal of Communication,1,US,F,White,Education
2022,Journal of Communication,2,US,F,White,Education
2022,Journal of Communication,1,IL,F,White,Education
2022,Journal of Communication,2,DE,F,White,Education
2022,Journal of Communication,3,BE,M,White,Education
2022,Journal of Communication,4,US,F,White,Education
2022,Journal of Communication,1,CN,F,Asian,Education
2022,Journal of Communication,2,KR,M,Asian,Education
2022,Journal of Communication,3,CN,M,Asian,Education
2022,Journal of Communication,1,US,F,White,Education
2022,Journal of Communication,2,US,F,White,Education
2021,Journal of Communication,1,IL,M,Middle Eastern,Education
2021,Journal of Communication,2,IL,F,White,Education
2021,Journal of Communication,3,IL,F,White,Education
2021,Journal of Communication,4,IL,M,Asian,Education
2021,Journal of Communication,5,IL,F,Asian,Education
2021,Journal of Communication,6,IL,M,White,Education
2021,Journal of Communication,7,IL,F,White,Education
2021,Journal of Communication,1,US,M,White,Education
2021,Journal of Communication,2,US,M,White,Education
2021,Journal of Communication,3,US,F,White,Education
