authorIndex,doi,year,journal,authorPosition,countrypred,genderpred,racepred,afftypepred
0,todlywbtzugkeguseiax,2013,Human Communication Research,2.0,US,F,White,Non Education
1,nazkjemanydzupiqyxkz,1989,Human Communication Research,3.0,PH,M,White,Education
2,rcnlopcsfraladutbjma,1993,Journal of Communication,1.0,US,M,White,Education
3,zdvtnxbxnjpkpvlsgigu,2007,Communication Theory,1.0,US,F,White,Education
4,xqyosepijvilykxeohzy,1975,Journal of Communication,4.0,US,F,White,Education
5,vthaculgnqpblzppodfl,1996,Human Communication Research,3.0,GB,F,White,Education
6,knkdgeeahlzdwiohrrsp,2015,Communication Theory,2.0,CN,M,White,Education
7,ypsvwhkgqaynegrieenx,2009,Journal of Computer-Mediated Communication,1.0,US,M,White,Education
8,mkhxzomlokuckhosmaso,2013,"Communication, Culture and Critique",2.0,US,M,White,Education
9,nftmtjfyogplofhbcbgl,1984,Journal of Communication,3.0,US,F,White,Education
10,iwxwiqdfnxmvgfencvas,2017,Journal of Communication,3.0,US,F,White,Education
11,flzdwmmpueigcjsrsrht,2021,"Communication, Culture and Critique",1.0,US,F,Middle Eastern,Education
12,sraomkvezuccibtjlokv,1959,Journal of Communication,2.0,US,F,White,Education
13,koypumyqocbdqqoteaui,1993,Human Communication Research,1.0,US,M,White,Education
14,ywevrjgtriruxchjqnuq,2016,"Communication, Culture and Critique",1.0,US,M,White,Education
15,hvizteoyvcqrrmjojlzg,2007,Journal of Computer-Mediated Communication,1.0,US,F,White,Education
16,wchztlhhrhsakdfpmoln,2014,Journal of Computer-Mediated Communication,1.0,IL,M,Middle Eastern,Education
17,xqsgyzersohkqrtstghd,2002,Journal of Communication,1.0,US,F,White,Education
18,lrjdakgovucyjfhnenhq,2018,Human Communication Research,5.0,US,F,White,Education
19,ohdsvvvbujvkcsdkwsot,1995,Human Communication Research,3.0,US,F,White,Education
20,vvqdjatgayunbvxdwwnp,2007,Journal of Communication,2.0,US,M,White,Education
21,wkmsopffjiefipwdrqaa,2012,Journal of Communication,1.0,ES,M,Hispanic,Education
22,dhrfgmsugwghkfartlne,1983,Journal of Communication,1.0,US,M,White,Non Education
23,hmlecfehcwsdusddzdkr,1996,Journal of Computer-Mediated Communication,1.0,AU,M,White,Education
24,tletssqfayraxgrqkemw,2000,Journal of Communication,1.0,US,F,White,Education
25,dpdvrtykzurztwaimqgy,1996,Human Communication Research,2.0,DE,F,White,Education
26,hqbcpugrpddastcecvkt,2005,Human Communication Research,3.0,KR,M,Asian,Non Education
27,bswluyehqwutkvazbmpo,2005,Journal of Communication,1.0,US,M,White,Education
28,rjldwolmzpyumexyfewz,2020,"Communication, Culture and Critique",1.0,US,F,White,Education
29,hcnjykmqkciioxlbfnox,1981,Journal of Communication,1.0,US,M,White,Education
30,fmjisljrrbhftbvxnivg,2007,Journal of Communication,7.0,US,F,White,Education
31,jxwtuzqrzfknrrorhmcx,2019,Human Communication Research,3.0,US,M,White,Education
32,pschgbdoxltjlmzaajco,2016,Journal of Communication,2.0,DE,M,White,Education
33,mvecsevmsljwewgzmtcl,2016,"Communication, Culture and Critique",1.0,BE,F,White,Education
34,mdekucedqibfwlmwzqij,2010,Human Communication Research,1.0,US,F,White,Education
35,pfxckepmiuxgoggivaux,2019,Journal of Computer-Mediated Communication,2.0,IL,M,Hispanic,Education
36,bbrjlutbfncgxtbhdbqd,1984,Human Communication Research,1.0,US,M,White,Education
37,ksjjxgvympuaxrhtvcqz,2019,"Communication, Culture and Critique",1.0,CR,M,Hispanic,Education
38,ecarzpieamifbrtilqjp,1978,Human Communication Research,1.0,US,M,White,Education
39,afoneyjeteaqtskyhvbr,2014,Journal of Communication,2.0,US,M,White,Education
40,pabyuogkeukslgojvrny,1983,Journal of Communication,2.0,CA,M,White,Education
41,zaqkjcewflelfqtirfjo,2018,Communication Theory,2.0,CH,M,White,Education
42,csvyjpcdyekauprrdoid,2000,Journal of Computer-Mediated Communication,2.0,US,M,Asian,Education
43,gtcrqlpfmodxfsmdkqzl,2021,Journal of Communication,4.0,GB,M,White,Education
44,xedwgjxdawadivpzvbll,2014,Human Communication Research,3.0,US,M,White,Education
45,iahipenfzuajsesrattg,2021,Journal of Communication,17.0,US,F,White,Education
46,rfjubmpzglgqzzzxyumh,1981,Human Communication Research,1.0,US,M,White,Education
47,cmyodbtnaufyrarizksi,2021,Journal of Communication,1.0,AU,M,White,Education
48,dijpswjvjofbnusrmpmm,1992,Human Communication Research,1.0,PH,M,White,Education
49,ozffmdahmzureojkweiu,2003,Human Communication Research,6.0,KR,M,Asian,Education
50,qfdrajqlqotmqaqfpsei,2005,Journal of Computer-Mediated Communication,1.0,US,F,Hispanic,Education
51,frirnpyiqzbnnnqeyuqg,2022,Journal of Computer-Mediated Communication,5.0,AT,F,White,Education
52,iwxwiqdfnxmvgfencvas,2017,Journal of Communication,1.0,US,M,White,Education
53,cmehyjdjqvvmtjvrqpub,2001,Journal of Communication,9.0,US,F,White,Non Education
54,sbixuxlvnwrxulwjdcnh,1992,Journal of Communication,1.0,US,M,White,Education
55,sakrglmomibthftygmxd,2007,Journal of Computer-Mediated Communication,1.0,US,F,White,Non Education
56,aqfdrbpevurfduoazpnd,2015,"Communication, Culture and Critique",1.0,US,M,White,Education
57,vimxexgudxzdwyrkgsan,2014,Journal of Communication,1.0,DE,M,White,Education
58,hniyrmyrrrmdrlwfcbdf,1991,Human Communication Research,2.0,US,M,White,Education
59,hacpfuuazewgdaeszohk,2007,Journal of Communication,1.0,US,M,White,Education
60,heqnkabarcgpjrzxrsce,2013,Journal of Computer-Mediated Communication,2.0,GB,F,White,Education
61,hfaowfvfufmbjixaysin,2003,Journal of Computer-Mediated Communication,1.0,US,M,White,Education
62,ltiyjufgopmedhtlgkxj,2005,Journal of Computer-Mediated Communication,1.0,CA,M,White,Education
63,ulvfegzpvaeshvfkvexf,1988,Human Communication Research,1.0,PH,F,White,Education
64,jkugzcnhczyaxsoiucmz,2021,Communication Theory,2.0,US,F,Black,Education
65,zywzpocynrrjkgbjrfcb,2004,Journal of Communication,1.0,US,F,Hispanic,Education
66,jvzhcubbsyiedqletubp,2009,"Communication, Culture and Critique",1.0,CA,M,White,Education
67,qnfnfxshyhjarbwsrjov,2003,Human Communication Research,1.0,US,F,White,Education
68,fuvrrjycffqrqzlksnyw,2005,Journal of Computer-Mediated Communication,3.0,US,M,White,Education
69,kktzdpdeufsoskunvydn,2021,Human Communication Research,7.0,DE,M,White,Education
70,qwluohqfqjszjypihdug,1986,Human Communication Research,3.0,US,M,White,Education
71,xdhjlksrgbnifsbaviss,1996,Journal of Communication,2.0,PH,M,White,Education
72,ijjsavauhsbipuwmujdi,2019,"Communication, Culture and Critique",1.0,GB,F,White,Education
73,pmiekdxngtgnngvafnsl,2004,Journal of Communication,1.0,US,M,White,Education
74,dohkykoinppqnsjlkqxf,1996,Human Communication Research,1.0,GB,M,White,Education
75,okfxdoesvllmizkxrwhm,2013,Journal of Computer-Mediated Communication,1.0,US,F,White,Education
76,eczyzkatusdbinqszsnj,1997,Journal of Computer-Mediated Communication,1.0,TJ,M,White,Education
77,zhaokbicnkcxjakdjvzj,1998,Human Communication Research,1.0,US,F,White,Education
78,iahipenfzuajsesrattg,2021,Journal of Communication,33.0,SG,F,Asian,Education
79,ebvwvdznyrcdmfrkuneb,2009,Communication Theory,6.0,US,F,White,Education
80,cwowpivzdtzywvpnzpqo,1978,Human Communication Research,3.0,US,M,White,Education
81,ffbpbuhvvexdphdcherb,2022,Journal of Computer-Mediated Communication,1.0,CA,M,White,Education
82,vzsbqrvddlrlwechqnqw,1991,Journal of Communication,1.0,US,F,White,Education
83,fmjisljrrbhftbvxnivg,2007,Journal of Communication,5.0,US,M,Asian,Education
84,bangxrcvgfgbitssptqu,2022,Journal of Communication,13.0,US,M,White,Education
85,yivjilxeuzdhgnohgbmx,1985,Human Communication Research,2.0,US,M,White,Education
86,bgxgdykcctjguejiznrf,2011,"Communication, Culture and Critique",1.0,US,M,White,Education
87,kgozvjoauszudebtgzlb,2014,Journal of Communication,3.0,US,M,White,Education
88,bfzogskieevvscppijbx,1977,Journal of Communication,3.0,US,M,White,Education
89,zqsxpqvpamcwxelqquge,1979,Journal of Communication,1.0,US,M,Asian,Education
90,jdzfpcvbqdohwctlrxny,2015,Journal of Communication,3.0,TH,F,White,Non Education
91,kjjcphukssbqhvlkfkna,1989,Journal of Communication,1.0,US,M,White,Education
92,pgxiyorkoqfeagfqwlab,1993,Journal of Communication,1.0,US,F,White,Education
93,ympwygnifnagwjydjmjz,2011,Journal of Communication,1.0,DE,M,White,Education
94,yetrrnucdwzkzktohsaj,2010,Human Communication Research,2.0,US,F,White,Education
95,iuyikjebbsfeksdzcdkh,1981,Human Communication Research,2.0,US,M,White,Education
96,unvgvbhbsaqshtnrvjum,2013,Journal of Communication,1.0,US,M,Asian,Education
97,yunaqjspimdilfqfrskk,2008,Journal of Communication,2.0,US,M,White,Education
98,hiycqrwvqghwwkjhetlk,2005,Human Communication Research,2.0,US,F,White,Education
99,nctnohahfsqutqguzcze,1992,Communication Theory,1.0,US,M,White,Education
