doi,url,journal,title,year,numberOfAuthros,authorPosition,fullname,firstname,lastname,affiliation,correspondence,googleScholarLink
10.1111/hcre.12086,https://academic.oup.com/hcr/article/42/4/533/4064726,Human Communication Research,Motivations for Political Discussion: Antecedents and Consequences on Civic Engagement,2016,3,1,Homero Gil de Zúñiga,Homero,Zúñiga,"Department of Communication, University of Vienna, 1090, Austria,",1Corresponding author: Homero Gil de Zúñiga;,http://scholar.google.com/scholar?q=author:%22Gil de Zúñiga Homero%22
10.1111/hcre.12086,https://academic.oup.com/hcr/article/42/4/533/4064726,Human Communication Research,Motivations for Political Discussion: Antecedents and Consequences on Civic Engagement,2016,3,2,Sebastián Valenzuela,Sebastián,Valenzuela,"School of Communications, Pontificia Universidad Católica de Chile, Santiago, 340, Chile,",,http://scholar.google.com/scholar?q=author:%22Valenzuela Sebastián%22
10.1111/hcre.12086,https://academic.oup.com/hcr/article/42/4/533/4064726,Human Communication Research,Motivations for Political Discussion: Antecedents and Consequences on Civic Engagement,2016,3,3,Brian E. Weeks,Brian,Weeks,"Department of Communication Studies, University of Michigan, Ann Arbor, MI, 48109, USA,",,http://scholar.google.com/scholar?q=author:%22Weeks Brian E.%22
10.1111/j.1468-2885.2009.01356.x,https://academic.oup.com/ct/article/20/1/106/4085674,Communication Theory,Incorporating Self-Categorization Concepts Into Ethnic Media Research,2010,1,1,Melissa A. Johnson,Melissa,Johnson,"Communication, NC State University, Campus Box 8104, 201C Winston Hall, Raleigh, NC, USA",,http://scholar.google.com/scholar?q=author:%22Johnson Melissa A.%22
10.1111/j.1468-2885.2008.00332.x,https://academic.oup.com/ct/article/18/4/505/4098771,Communication Theory,A Discursive Approach to Skillful Activity,2008,2,1,J. Kevin Barge,Kevin,Barge,"Department of Communication, Texas A & M University, College Station, TX 77843",,http://scholar.google.com/scholar?q=author:%22Barge J. Kevin%22
10.1111/j.1468-2885.2008.00332.x,https://academic.oup.com/ct/article/18/4/505/4098771,Communication Theory,A Discursive Approach to Skillful Activity,2008,2,2,Martin Little,Martin,Little,"Kensington Consultation Centre Foundation, London, UK",,http://scholar.google.com/scholar?q=author:%22Little Martin%22
10.1111/j.1460-2466.1994.tb00704.x,https://academic.oup.com/joc/article/44/4/152/4160220,Journal of Communication,Problematizing the Americas,1994,1,1,Jane Tumas-Serna,Jane,Tumas-Serna,Hollins College,,http://scholar.google.com/scholar?q=author:%22Tumas-Serna Jane%22
10.1111/j.1468-2885.1995.tb00111.x,https://academic.oup.com/ct/article/5/3/286/4258999,Communication Theory,"A Final Reply to Potter, Cooper, and Dupagne",1995,1,1,Glenn G. Sparks,Glenn,Sparks,"Glenn G. Sparks is a professor in the Department of Communication at Purdue University, West Lafayette, IN 47906",,http://scholar.google.com/scholar?q=author:%22Sparks Glenn G.%22
10.1111/j.1460-2466.1975.tb00552.x,https://academic.oup.com/joc/article/25/1/31/4553628,Journal of Communication,Super Bowl: Mythic Spectacle,1975,1,1,Michael R. Real,Michael,Real,Michael R. Real is Assistant Professor of Communications at the University of California at San Diego and a former quarterback (offense) and middle linebacker (defense) at a “every small school.”,,http://scholar.google.com/scholar?q=author:%22Real Michael R.%22
10.1111/j.1460-2466.1993.tb01287.x,https://academic.oup.com/joc/article/43/3/150/4160177,Journal of Communication,The Hierarchy of Institutional Values in the Communication Discipline,1993,2,1,Jennifer L. Monahan,Jennifer,Monahan,Jennifer L. Monahan is an assistant professor in the Department of Speech Communication at the University of Georgia.,,http://scholar.google.com/scholar?q=author:%22Monahan Jennifer L.%22
10.1111/j.1460-2466.1993.tb01287.x,https://academic.oup.com/joc/article/43/3/150/4160177,Journal of Communication,The Hierarchy of Institutional Values in the Communication Discipline,1993,2,2,Lori Collins-Jarvis,Lori,Collins-Jarvis,Lori Collins-Jarvis is an assistant professor in the Department of Communication at Rutgers University.,,http://scholar.google.com/scholar?q=author:%22Collins-Jarvis Lori%22
10.1093/hcr/hqy017,https://academic.oup.com/hcr/article/45/2/148/5200488,Human Communication Research,How Thinking about the Future Affects Our Decisions in the Present: Effects of Time Orientation and Episodic Future Thinking on Responses to Health Warning Messages,2019,2,1,Xiaoli Nan,Xiaoli,Nan,"Department of Communication, University of Maryland, College Park, MD, USA",Corresponding author: Xiaoli Nan; email: nan@umd.edu,http://scholar.google.com/scholar?q=author:%22Nan Xiaoli%22
10.1093/hcr/hqy017,https://academic.oup.com/hcr/article/45/2/148/5200488,Human Communication Research,How Thinking about the Future Affects Our Decisions in the Present: Effects of Time Orientation and Episodic Future Thinking on Responses to Health Warning Messages,2019,2,2,Yan Qin,Yan,Qin,"Department of Communication, University of Maryland, College Park, MD, USA",,http://scholar.google.com/scholar?q=author:%22Qin Yan%22
10.1111/j.1460-2466.1992.tb00789.x,https://academic.oup.com/joc/article/42/2/163/4210063,Journal of Communication,The History of the Public Sphere,1992,1,1,John Nerone,John,Nerone,University of Illinois at Urbana-Champaign,,http://scholar.google.com/scholar?q=author:%22Nerone John%22
10.1093/joc/jqac010,https://academic.oup.com/joc/article/72/3/449/6551060,Journal of Communication,Correction to: Media Systems in the Digital Age: An Empirical Comparison of 30 Countries,2022,5,1,Edda Humprecht,Edda,Humprecht,,,http://scholar.google.com/scholar?q=author:%22Humprecht Edda%22
