authorID,doi,url,year,title,journal,numberOfAuthors,authorPosition,authorFullName,firstName,lastName,affiliation,gscholarLink,googleSearch,genderize,genderize_prob,genderize_basedon,genderAccuracy,authorFullName.1,firstName.1,lastName.1,affiliation.1,gscholarLink.1,googleSearch.1,race,racePredAccuracy,api,black,hispanic,white,raceHighest,raceSecondHighest,raceDiff,affProcessed,affiliation.2,ROR_AFFNAME,matchMethod,ROR_ID
10.1111/j.1460-2466.1991.tb02323.x+1.0,10.1111/j.1460-2466.1991.tb02323.x,https://academic.oup.com/joc/article/41/3/53/4210085,1991,"Negative versus Positive Television Advertising in U.S. Presidential Campaigns, 1960–1988",Journal of Communication,2.0,1.0,Lynda Lee Kaid,Lynda,Kaid,"1 Lynda Lee Kaid is Professor in the Department of Communication, University of Oklahoma.",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Lynda+Kaid,https://www.google.com/search?q=Lynda+Lee+Kaid+lynda+lee+kaid+is+professor+in+the+department+of+communication+university+of+oklahoma,female,0.98,7254.0,High,Lynda Lee Kaid,Lynda,Kaid,"1 Lynda Lee Kaid is Professor in the Department of Communication, University of Oklahoma.",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Lynda+Kaid,https://www.google.com/search?q=Lynda+Lee+Kaid+lynda+lee+kaid+is+professor+in+the+department+of+communication+university+of+oklahoma,white,Low,0.13688901,0.19339353,0.026317237,0.6434003,0.6434003,0.19339353,0.45000678,lynda lee kaid is professor in the department of communication university of oklahoma,"1 Lynda Lee Kaid is Professor in the Department of Communication, University of Oklahoma.",University of Oklahoma,Exact,https://ror.org/02aqsxs83
10.1111/j.1460-2466.2000.tb02865.x+1.0,10.1111/j.1460-2466.2000.tb02865.x,https://academic.oup.com/joc/article/50/4/111/4109994,2000,On-Line Interaction and Why Candidates Avoid It,Journal of Communication,1.0,1.0,Jennifer Stromer-Galley,Jennifer,Stromer-Galley,"1 Annenberg School for Communication, University of Pennsylvania, PA, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Jennifer+Stromer-Galley,https://www.google.com/search?q=Jennifer+Stromer-Galley+annenberg+school+for+communication+university+of+pennsylvania+pa+usa,female,0.98,90255.0,High,Jennifer Stromer-Galley,Jennifer,Stromer-Galley,"1 Annenberg School for Communication, University of Pennsylvania, PA, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Jennifer+Stromer-Galley,https://www.google.com/search?q=Jennifer+Stromer-Galley+annenberg+school+for+communication+university+of+pennsylvania+pa+usa,white,High,0.0050818087,0.14826353,0.029706452,0.8169481,0.8169481,0.14826353,0.6686846,annenberg school for communication university of pennsylvania pa usa,"1 Annenberg School for Communication, University of Pennsylvania, PA, USA",University of Pennsylvania,Exact,https://ror.org/00b30xv10
10.1111/j.1468-2958.2012.01440.x+1.0,10.1111/j.1468-2958.2012.01440.x,https://academic.oup.com/hcr/article/39/1/3/4093669,2013,Dyadic Power Profiles: Power-Contingent Strategies for Value Creation in Negotiation,Human Communication Research,2.0,1.0,Mara Olekalns,Mara,Olekalns,"1 Melbourne Business School, University of Melbourne, Carlton, Victoria 3053, Australia",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Mara+Olekalns,https://www.google.com/search?q=Mara+Olekalns+melbourne+business+school+university+of+melbourne+carlton+victoria+australia,female,0.96,53047.0,High,Mara Olekalns,Mara,Olekalns,"1 Melbourne Business School, University of Melbourne, Carlton, Victoria 3053, Australia",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Mara+Olekalns,https://www.google.com/search?q=Mara+Olekalns+melbourne+business+school+university+of+melbourne+carlton+victoria+australia,white,High,0.010152239,0.04437729,0.039580677,0.90588975,0.90588975,0.04437729,0.8615125,melbourne business school university of melbourne carlton victoria australia,"1 Melbourne Business School, University of Melbourne, Carlton, Victoria 3053, Australia",University of Melbourne,Exact,https://ror.org/01ej9dk98
10.1111/jcom.12280+2.0,10.1111/jcom.12280,https://academic.oup.com/joc/article/67/1/131/4082436,2017,When We Stop Talking Politics: The Maintenance and Closing of Conversation in Contentious Times,Journal of Communication,10.0,2.0,Katherine J. Cramer,Katherine,Cramer,"2 Department of Political Science, University of Wisconsin-Madison, Madison, WI 53706, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Katherine+Cramer,https://www.google.com/search?q=Katherine+J.+Cramer+department+of+political+science+university+of+wisconsin+madison+madison+wi+usa,female,0.98,8451.0,High,Katherine J. Cramer,Katherine,Cramer,"2 Department of Political Science, University of Wisconsin-Madison, Madison, WI 53706, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Katherine+Cramer,https://www.google.com/search?q=Katherine+J.+Cramer+department+of+political+science+university+of+wisconsin+madison+madison+wi+usa,white,High,0.015095702,0.022678586,0.026050327,0.9361754,0.9361754,0.026050327,0.9101251,department of political science university of wisconsin madison madison wi usa,"2 Department of Political Science, University of Wisconsin-Madison, Madison, WI 53706, USA",University of Wisconsin–Madison,API_QUERY,https://ror.org/01y2jtd41
10.1111/j.1460-2466.2011.01620.x+2.0,10.1111/j.1460-2466.2011.01620.x,https://academic.oup.com/joc/article/62/1/136/4085831,2012,The Influence of Morality Subcultures on the Acceptance and Appeal of Violence,Journal of Communication,5.0,2.0,Allison Eden,Allison,Eden,"2 Department of Communication Science, VU University Amsterdam, Amsterdam, Netherlands",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Allison+Eden,https://www.google.com/search?q=Allison+Eden+department+of+communication+science+vu+university+amsterdam+amsterdam+netherlands,female,0.93,4385.0,High,Allison Eden,Allison,Eden,"2 Department of Communication Science, VU University Amsterdam, Amsterdam, Netherlands",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Allison+Eden,https://www.google.com/search?q=Allison+Eden+department+of+communication+science+vu+university+amsterdam+amsterdam+netherlands,white,Low,0.011071356,0.21750274,0.019376377,0.75204957,0.75204957,0.21750274,0.53454685,department of communication science vu university amsterdam amsterdam netherlands,"2 Department of Communication Science, VU University Amsterdam, Amsterdam, Netherlands",Vrije Universiteit Amsterdam,API_QUERY,https://ror.org/008xxew50
10.1111/j.1460-2466.1991.tb02315.x+1.0,10.1111/j.1460-2466.1991.tb02315.x,https://academic.oup.com/joc/article/41/2/162/4210104,1991,Television as Spectacle and Myth,Journal of Communication,1.0,1.0,Anri Vartanov,Anri,Vartanov,"1 Anri Vartanov is Professor and Chairman of the Department of Artistic Problems of Mass Communication, All-Union Arts Research Institute, Moscow.",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Anri+Vartanov,https://www.google.com/search?q=Anri+Vartanov+anri+vartanov+is+professor+and+chairman+of+the+department+of+artistic+problems+of+mass+communication+all+union+arts+research+institute+moscow,male,0.6,334.0,Low,Anri Vartanov,Anri,Vartanov,"1 Anri Vartanov is Professor and Chairman of the Department of Artistic Problems of Mass Communication, All-Union Arts Research Institute, Moscow.",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Anri+Vartanov,https://www.google.com/search?q=Anri+Vartanov+anri+vartanov+is+professor+and+chairman+of+the+department+of+artistic+problems+of+mass+communication+all+union+arts+research+institute+moscow,white,High,0.0045168893,0.016221497,0.019886125,0.95937544,0.95937544,0.019886125,0.9394893,anri vartanov is professor and chairman of the department of artistic problems of mass communication all union arts research institute moscow,"1 Anri Vartanov is Professor and Chairman of the Department of Artistic Problems of Mass Communication, All-Union Arts Research Institute, Moscow.",Search Institute,Exact,https://ror.org/003agka18
10.1111/hcre.12045+1.0,10.1111/hcre.12045,https://academic.oup.com/hcr/article/41/2/226/4064429,2015,The Influence of Episodic and Thematic Frames on Policy and Group Attitudes: Mediational Analysis,Human Communication Research,2.0,1.0,Sheila A. Springer,Sheila,Springer,"1 Department of Communication, University of Arizona, Tucson, AZ 85721-0025, USA,",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Sheila+Springer,https://www.google.com/search?q=Sheila+A.+Springer+department+of+communication+university+of+arizona+tucson+az+usa,female,0.99,17390.0,High,Sheila A. Springer,Sheila,Springer,"1 Department of Communication, University of Arizona, Tucson, AZ 85721-0025, USA,",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Sheila+Springer,https://www.google.com/search?q=Sheila+A.+Springer+department+of+communication+university+of+arizona+tucson+az+usa,white,High,0.013601466,0.057812072,0.029171964,0.89941454,0.89941454,0.057812072,0.84160244,department of communication university of arizona tucson az usa,"1 Department of Communication, University of Arizona, Tucson, AZ 85721-0025, USA,",University of Arizona,Exact,https://ror.org/03m2x1q45
10.1111/jcom.12079+1.0,10.1111/jcom.12079,https://academic.oup.com/joc/article/64/4/764/4086052,2014,On the Cultural Foundations for Universal Healthcare: Implications From Late 20th-Century U.S. and Canadian Health-Related Discourse,Journal of Communication,2.0,1.0,Carl W. Roberts,Carl,Roberts,"1 Departments of Statistics &amp; Sociology, Iowa State University, Ames, IA, 50011, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Carl+Roberts,https://www.google.com/search?q=Carl+W.+Roberts+departments+of+statistics+amp+sociology+iowa+state+university+ames+ia+usa,male,0.98,17561.0,High,Carl W. Roberts,Carl,Roberts,"1 Departments of Statistics &amp; Sociology, Iowa State University, Ames, IA, 50011, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Carl+Roberts,https://www.google.com/search?q=Carl+W.+Roberts+departments+of+statistics+amp+sociology+iowa+state+university+ames+ia+usa,white,Low,0.008083973,0.18153071,0.029912964,0.7804724,0.7804724,0.18153071,0.5989417,departments of statistics amp sociology iowa state university ames ia usa,"1 Departments of Statistics &amp; Sociology, Iowa State University, Ames, IA, 50011, USA",Iowa State University,Exact,https://ror.org/04rswrd78
10.1111/jcom.12071+2.0,10.1111/jcom.12071,https://academic.oup.com/joc/article/64/1/20/4085967,2014,Risk Information Seeking and Processing Model: A Meta-Analysis,Journal of Communication,3.0,2.0,Ariel M. Aloe,Ariel,Aloe,"2 Educational Psychology and Foundations, University of Northern Iowa, IA, 50614, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Ariel+Aloe,https://www.google.com/search?q=Ariel+M.+Aloe+educational+psychology+and+foundations+university+of+northern+iowa+ia+usa,male,0.81,11501.0,High,Ariel M. Aloe,Ariel,Aloe,"2 Educational Psychology and Foundations, University of Northern Iowa, IA, 50614, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Ariel+Aloe,https://www.google.com/search?q=Ariel+M.+Aloe+educational+psychology+and+foundations+university+of+northern+iowa+ia+usa,white,Low,0.038906604,0.13666454,0.107159056,0.7172698,0.7172698,0.13666454,0.58060527,educational psychology and foundations university of northern iowa ia usa,"2 Educational Psychology and Foundations, University of Northern Iowa, IA, 50614, USA",University of Northern Iowa,Exact,https://ror.org/02h4qpx12
10.1111/j.1460-2466.1992.tb00793.x+1.0,10.1111/j.1460-2466.1992.tb00793.x,https://academic.oup.com/joc/article/42/3/5/4210080,1992,The End of Journalism? Notes on Watching the War,Journal of Communication,1.0,1.0,Elihu Katz,Elihu,Katz,"1 Elihu Katz is professor of sociology and communication at the Hebrew University of Jerusalem, and at the Annenberg School for Communication, University of Southern California, Los Angeles. He also serves as Scientific Director of the Guttman Institute of Applied Social Research in Jerusalem.",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Elihu+Katz,https://www.google.com/search?q=Elihu+Katz+elihu+katz+is+professor+of+sociology+and+communication+at+the+hebrew+university+of+jerusalem+and+at+the+annenberg+school+for+communication+university+of+southern+california+los+angeles+he+also+serves+as+scientific+director+of+the+guttman+institute+of+applied+social+research+in+jerusalem,male,0.94,47.0,Low,Elihu Katz,Elihu,Katz,"1 Elihu Katz is professor of sociology and communication at the Hebrew University of Jerusalem, and at the Annenberg School for Communication, University of Southern California, Los Angeles. He also serves as Scientific Director of the Guttman Institute of Applied Social Research in Jerusalem.",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Elihu+Katz,https://www.google.com/search?q=Elihu+Katz+elihu+katz+is+professor+of+sociology+and+communication+at+the+hebrew+university+of+jerusalem+and+at+the+annenberg+school+for+communication+university+of+southern+california+los+angeles+he+also+serves+as+scientific+director+of+the+guttman+institute+of+applied+social+research+in+jerusalem,white,High,0.020056527,0.008120439,0.035099033,0.9367239,0.9367239,0.035099033,0.90162486,elihu katz is professor of sociology and communication at the hebrew university of jerusalem and at the annenberg school for communication university of southern california los angeles he also serves as scientific director of the guttman institute of applied social research in jerusalem,"1 Elihu Katz is professor of sociology and communication at the Hebrew University of Jerusalem, and at the Annenberg School for Communication, University of Southern California, Los Angeles. He also serves as Scientific Director of the Guttman Institute of Applied Social Research in Jerusalem.",University of Southern California,Exact,https://ror.org/03taz7m60
