doi,url,title,journal,datePublished,authorName,numberOfAuthors,authorPosition,affiliation,firstName,lastName,gender,gender_prob,gender_basedon,gscholarLink
10.1093/joc/jqz040,https://academic.oup.com/joc/article/70/1/13/5739595,How the Comforting Process Fails: Psychological Reactance to Support Messages,Journal of Communication,2020-02-18,Kellie St.Cyr Brisini,3.0,3.0,"Department of Communication Arts and Sciences , The Pennsylvania State University, University Park, PA 16802,  USA",Kellie,Brisini,female,0.97,1170,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Kellie+Brisini
10.1111/j.1468-2958.2010.01395.x,https://academic.oup.com/hcr/article/37/1/107/4107502,Does Mother Know Best? An Actor–Partner Model of College-Age Women's Human Papillomavirus Vaccination Behavior,Human Communication Research,2011-01-01,Janice L. Krieger,4.0,1.0,"1 School of Communication, The Ohio State University, Columbus, OH 43210, USA",Janice,Krieger,female,0.98,6277,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Janice+Krieger
10.1111/j.1753-9137.2009.01055.x,https://academic.oup.com/ccc/article/3/1/21/4067397,"The Exceptional Community: On Strangers, Foreigners, and Communication","Communication, Culture and Critique",2010-02-22,Garnet C. Butchart,1.0,1.0,"1 Department of Communication, University of South Florida, Tampa, FL 33620, USA",Garnet,Butchart,male,0.68,171,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Garnet+Butchart
10.1111/hcre.12067,https://academic.oup.com/hcr/article/42/1/71/4064725,Consciousness and Self-Regulation in Mobile Communication,Human Communication Research,2016-01-01,Scott W. Campbell,4.0,3.0,"1 Communication Studies, University of Michigan, Ann Arbor, MI, 48103, USA,",Scott,Campbell,male,0.99,31815,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Scott+Campbell
10.1111/j.1083-6101.2011.01539.x,https://academic.oup.com/jcmc/article/16/2/271/4064833,Two Routes Leading to Conformity Intention in Computer-Mediated Groups: Matching versus Mismatching Virtual Representations,Journal of Computer-Mediated Communication,2011-01-01,Junghyun Kim,1.0,1.0,,Junghyun,Kim,male,0.62,257,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Junghyun+Kim
10.1111/j.1460-2466.2001.tb02875.x,https://academic.oup.com/joc/article/51/1/121/4110156,Questioning the Value of Realism: Young Adults' Processing of Messages in Alcohol-Related Public Service Announcements and Advertising,Journal of Communication,2006-01-10,Julie L. Adnsager,3.0,1.0,"1 Edward R. Murrow School of Communication, Washington State University, WA, USA",Julie,Adnsager,female,0.98,116926,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Julie+Adnsager
10.1111/j.1460-2466.1978.tb01561.x,https://academic.oup.com/joc/article/28/1/45/4371643,Freedom and Equality: Two Values of Political Orientation,Journal of Communication,2006-02-07,Gerald L. Rous,2.0,1.0,1 Gerald L. Rous is an Instructor of Sociology at the University of Wisconsin at Stevens Point,Gerald,Rous,male,0.99,13923,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Gerald+Rous
10.1093/joc/jqaa009,https://academic.oup.com/joc/article/70/3/310/5828491,"Less Fragmented Than We Thought? Toward Clarification of a Subdisciplinary Linkage in Communication Science, 2010–2019",Journal of Communication,2020-05-04,Olga Eisele,3.0,3.0,"Department of Communication, University of Vienna , Vienna, Austria",Olga,Eisele,female,0.98,80307,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Olga+Eisele
10.1111/hcre.12123,https://academic.oup.com/hcr/article/43/4/436/4670715,When News Meets the Audience: How Audience Feedback Online Affects News Production and Consumption,Human Communication Research,2017-10-01,Edson C Tandoc,2.0,2.0,"Wee Kim Wee School of Communication and Information, Nanyang Technological University, Singapore,",Edson,Tandoc,male,0.98,4916,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Edson+Tandoc
10.1093/joc/jqx001,https://academic.oup.com/joc/article/68/1/51/4858527,Selective Exposure to Populist Communication: How Attitudinal Congruence Drives the Effects of Populist Attributions of Blame,Journal of Communication,2018-02-14,Michael Hameleers,3.0,1.0,"Amsterdam School of Communication Research, University of Amsterdam , 1018 WV Amsterdam",Michael,Hameleers,male,0.99,245870,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Michael+Hameleers
