authorID,doi,url,year,title,journal,numberOfAuthors,authorPosition,authorFullName,firstName,lastName,affiliation,gscholarLink,googleSearch,genderize,genderize_prob,genderize_basedon,genderAccuracy,authorFullName.1,firstName.1,lastName.1,affiliation.1,gscholarLink.1,googleSearch.1,race,racePredAccuracy,api,black,hispanic,white,raceHighest,raceSecondHighest,raceDiff,affProcessed,affiliation.2,ROR_AFFNAME,matchMethod,ROR_ID,gImageLink,race_prediction
10.1111/j.1753-9137.2012.01124.x+4.0,10.1111/j.1753-9137.2012.01124.x,https://academic.oup.com/ccc/article/5/3/372/4054414,2012,Studying Ethnic Minorities' Media Uses: Comparative Conceptual and Methodological Reflections,"Communication, Culture and Critique",4.0,4.0,Dafna Lemish,Dafna,Lemish,"4 Department of Radio-TV, Southern Illinois University, Carbondale, IL, 62901, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Dafna+Lemish,https://www.google.com/search?q=Dafna+Lemish+department+of+radio+tv+southern+illinois+university+carbondale+il+usa,female,0.97,89.0,Low,Dafna Lemish,Dafna,Lemish,"4 Department of Radio-TV, Southern Illinois University, Carbondale, IL, 62901, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Dafna+Lemish,https://www.google.com/search?q=Dafna+Lemish+department+of+radio+tv+southern+illinois+university+carbondale+il+usa,white,High,0.011624281,0.09927744,0.055314656,0.83378357,0.83378357,0.09927744,0.73450613,department of radio tv southern illinois university carbondale il usa,"4 Department of Radio-TV, Southern Illinois University, Carbondale, IL, 62901, USA",Southern Illinois University Carbondale,Exact,https://ror.org/049kefs16,https://www.google.com/search?q=Dafna+Lemish&source=lnms&tbm=isch&sa=X&ved=2ahUKEwjZu9jr1d35AhXdHzQIHcsIBbQQ_AUoAXoECAIQAw&biw=1237&bih=712&dpr=1,
10.1111/j.1468-2958.1980.tb00132.x+3.0,10.1111/j.1468-2958.1980.tb00132.x,https://academic.oup.com/hcr/article/6/2/117/4626844,1980,Psychological Sex Type and Androgyny in the Study of Communication Variables: Self-Disclosure and Communication Apprehension,Human Communication Research,3.0,3.0,Vicki S. Freimuth,Vicki,Freimuth,"3 Vicki S. Freimuth (Ph.D., Florida State University, 1974) is an assistant professor of speech communication, University of Maryland, College Park, Maryland 20742. This study accepted for publication June 11, 1979",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Vicki+Freimuth,https://www.google.com/search?q=Vicki+S.+Freimuth+vicki+s+freimuth+is+an+assistant+professor+of+speech+communication+university+of+maryland+college+park+maryland+this+study+accepted+for+publication+june,female,0.96,3388.0,High,Vicki S. Freimuth,Vicki,Freimuth,"3 Vicki S. Freimuth (Ph.D., Florida State University, 1974) is an assistant professor of speech communication, University of Maryland, College Park, Maryland 20742. This study accepted for publication June 11, 1979",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Vicki+Freimuth,https://www.google.com/search?q=Vicki+S.+Freimuth+vicki+s+freimuth+is+an+assistant+professor+of+speech+communication+university+of+maryland+college+park+maryland+this+study+accepted+for+publication+june,white,High,0.0070027513,0.020241944,0.037702005,0.9350533,0.9350533,0.037702005,0.89735126,vicki s freimuth is an assistant professor of speech communication university of maryland college park maryland this study accepted for publication june,"3 Vicki S. Freimuth (Ph.D., Florida State University, 1974) is an assistant professor of speech communication, University of Maryland, College Park, Maryland 20742. This study accepted for publication June 11, 1979",University of Mary,Exact,https://ror.org/055f0jp24,https://www.google.com/search?q=Vicki+Freimuth&source=lnms&tbm=isch&sa=X&ved=2ahUKEwjZu9jr1d35AhXdHzQIHcsIBbQQ_AUoAXoECAIQAw&biw=1237&bih=712&dpr=1,
10.1111/j.1468-2885.1993.tb00054.x+2.0,10.1111/j.1468-2885.1993.tb00054.x,https://academic.oup.com/ct/article/3/1/26/4430853,1993,An Action Assembly Perspective on Social Skill,Communication Theory,2.0,2.0,Deanna Geddes,Deanna,Geddes,"1 Associate professor, Department of Communication, Purdue University, West Lafayette, IN 47907. Deanna Geddes is assistant professor, Department of Human Resource Administration, Temple University, Philadelphia, PA 19122. The authors wish to express their appreciation to Elizabeth A. Lindsey and three anonymous reviewers for their comments on earlier drafts of this article",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Deanna+Geddes,https://www.google.com/search?q=Deanna+Geddes+associate+professor+department+of+communication+purdue+university+west+lafayette+in+deanna+geddes+is+assistant+professor+department+of+human+resource+administration+temple+university+philadelphia+pa+the+authors+wish+to+express+their+appreciation+to+elizabeth+a+lindsey+and+three+anonymous+reviewers+for+their+comments+on+earlier+drafts+of+this+article,female,0.99,873.0,Low,Deanna Geddes,Deanna,Geddes,"1 Associate professor, Department of Communication, Purdue University, West Lafayette, IN 47907. Deanna Geddes is assistant professor, Department of Human Resource Administration, Temple University, Philadelphia, PA 19122. The authors wish to express their appreciation to Elizabeth A. Lindsey and three anonymous reviewers for their comments on earlier drafts of this article",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Deanna+Geddes,https://www.google.com/search?q=Deanna+Geddes+associate+professor+department+of+communication+purdue+university+west+lafayette+in+deanna+geddes+is+assistant+professor+department+of+human+resource+administration+temple+university+philadelphia+pa+the+authors+wish+to+express+their+appreciation+to+elizabeth+a+lindsey+and+three+anonymous+reviewers+for+their+comments+on+earlier+drafts+of+this+article,white,High,0.0047993492,0.083031215,0.02295051,0.889219,0.889219,0.083031215,0.80618775,associate professor department of communication purdue university west lafayette in deanna geddes is assistant professor department of human resource administration temple university philadelphia pa the authors wish to express their appreciation to elizabeth a lindsey and three anonymous reviewers for their comments on earlier drafts of this article,"1 Associate professor, Department of Communication, Purdue University, West Lafayette, IN 47907. Deanna Geddes is assistant professor, Department of Human Resource Administration, Temple University, Philadelphia, PA 19122. The authors wish to express their appreciation to Elizabeth A. Lindsey and three anonymous reviewers for their comments on earlier drafts of this article",Purdue University West Lafayette,Exact,https://ror.org/02dqehb95,https://www.google.com/search?q=Deanna+Geddes&source=lnms&tbm=isch&sa=X&ved=2ahUKEwjZu9jr1d35AhXdHzQIHcsIBbQQ_AUoAXoECAIQAw&biw=1237&bih=712&dpr=1,
10.1111/j.1468-2958.1997.tb00589.x+1.0,10.1111/j.1468-2958.1997.tb00589.x,https://academic.oup.com/hcr/article/24/1/109/4554804,1997,Family and Workplace Conflict: Examining Metaphorical Conflict Schemas and Expressions Across Context and Sex,Human Communication Research,2.0,1.0,Patrice M. Buzzanell,Patrice,Buzzanell,"1 Patrice M. Buzzanell (Ph.D., 1987, Purdue University) is an associate professor in the Department of Communication at Northern Illinois University",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Patrice+Buzzanell,https://www.google.com/search?q=Patrice+M.+Buzzanell+patrice+m+buzzanell+is+an+associate+professor+in+the+department+of+communication+at+northern+illinois+university,male,0.97,24078.0,High,Patrice M. Buzzanell,Patrice,Buzzanell,"1 Patrice M. Buzzanell (Ph.D., 1987, Purdue University) is an associate professor in the Department of Communication at Northern Illinois University",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Patrice+Buzzanell,https://www.google.com/search?q=Patrice+M.+Buzzanell+patrice+m+buzzanell+is+an+associate+professor+in+the+department+of+communication+at+northern+illinois+university,white,High,0.0029165726,0.036854345,0.02396793,0.9362612,0.9362612,0.036854345,0.89940685,patrice m buzzanell is an associate professor in the department of communication at northern illinois university,"1 Patrice M. Buzzanell (Ph.D., 1987, Purdue University) is an associate professor in the Department of Communication at Northern Illinois University",Northern Illinois University,Exact,https://ror.org/012wxa772,https://www.google.com/search?q=Patrice+Buzzanell&source=lnms&tbm=isch&sa=X&ved=2ahUKEwjZu9jr1d35AhXdHzQIHcsIBbQQ_AUoAXoECAIQAw&biw=1237&bih=712&dpr=1,
10.1111/j.1460-2466.2010.01506.x+2.0,10.1111/j.1460-2466.2010.01506.x,https://academic.oup.com/joc/article/60/4/611/4098429,2010,Everyday Conversation in the Deliberative Process: An Analysis of Communicative Exchanges in Discussion Groups and Their Contributions to Civic and Political Socialization,Journal of Communication,2.0,2.0,Rousiley C. M. Maia,Rousiley,Maia,"2 Departmento de Comunicação Social, Universidade Federal de Minas Gerais - Faculdade de Filosofia e Ciências Humanas, Belo Horizonte, Minas Gerais, Brazil",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Rousiley+Maia,https://www.google.com/search?q=Rousiley+C.+M.+Maia+departmento+de+comunica+o+social+universidade+federal+de+minas+gerais+faculdade+de+filosofia+e+ci+ncias+humanas+belo+horizonte+minas+gerais+brazil,,0.0,0.0,Low,Rousiley C. M. Maia,Rousiley,Maia,"2 Departmento de Comunicação Social, Universidade Federal de Minas Gerais - Faculdade de Filosofia e Ciências Humanas, Belo Horizonte, Minas Gerais, Brazil",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Rousiley+Maia,https://www.google.com/search?q=Rousiley+C.+M.+Maia+departmento+de+comunica+o+social+universidade+federal+de+minas+gerais+faculdade+de+filosofia+e+ci+ncias+humanas+belo+horizonte+minas+gerais+brazil,white,Low,0.12482545,0.086555295,0.11269149,0.6759278,0.6759278,0.12482545,0.5511024,departmento de comunica o social universidade federal de minas gerais faculdade de filosofia e ci ncias humanas belo horizonte minas gerais brazil,"2 Departmento de Comunicação Social, Universidade Federal de Minas Gerais - Faculdade de Filosofia e Ciências Humanas, Belo Horizonte, Minas Gerais, Brazil",Universidade Federal de Minas Gerais,API_QUERY,https://ror.org/0176yjw32,https://www.google.com/search?q=Rousiley+Maia&source=lnms&tbm=isch&sa=X&ved=2ahUKEwjZu9jr1d35AhXdHzQIHcsIBbQQ_AUoAXoECAIQAw&biw=1237&bih=712&dpr=1,
10.1111/j.1460-2466.2000.tb02861.x+1.0,10.1111/j.1460-2466.2000.tb02861.x,https://academic.oup.com/joc/article/50/4/3/4110115,2000,Majority-Minority Influence: Identifying Argumentative Patterns and Predicting Argument-Outcome Links,Journal of Communication,3.0,1.0,Renée A. Meyers,Renée,Meyers,"1 Department of Communication, University of Wisconsin-Madison, Madison, WI, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Renée+Meyers,https://www.google.com/search?q=Ren%C3%A9e+A.+Meyers+department+of+communication+university+of+wisconsin+madison+madison+wi+usa,female,0.85,27.0,Low,Renée A. Meyers,Renée,Meyers,"1 Department of Communication, University of Wisconsin-Madison, Madison, WI, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Renée+Meyers,https://www.google.com/search?q=Ren%C3%A9e+A.+Meyers+department+of+communication+university+of+wisconsin+madison+madison+wi+usa,white,High,0.0048524407,0.049011625,0.023036553,0.92309946,0.92309946,0.049011625,0.8740878,department of communication university of wisconsin madison madison wi usa,"1 Department of Communication, University of Wisconsin-Madison, Madison, WI, USA",University of Wisconsin–Madison,API_QUERY,https://ror.org/01y2jtd41,https://www.google.com/search?q=Renée+Meyers&source=lnms&tbm=isch&sa=X&ved=2ahUKEwjZu9jr1d35AhXdHzQIHcsIBbQQ_AUoAXoECAIQAw&biw=1237&bih=712&dpr=1,
10.1111/jcc4.12127+4.0,10.1111/jcc4.12127,https://academic.oup.com/jcmc/article/20/5/520/4067592,2015,News Recommendations from Social Media Opinion Leaders: Effects on Media Trust and Information Seeking,Journal of Computer-Mediated Communication,5.0,4.0,Rosanne M. Scholl,Rosanne,Scholl,"4 Manship School of Mass Communication, Louisiana State University, Baton Rouge, LA, 70803",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Rosanne+Scholl,https://www.google.com/search?q=Rosanne+M.+Scholl+manship+school+of+mass+communication+louisiana+state+university+baton+rouge+la,female,0.98,626.0,Low,Rosanne M. Scholl,Rosanne,Scholl,"4 Manship School of Mass Communication, Louisiana State University, Baton Rouge, LA, 70803",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Rosanne+Scholl,https://www.google.com/search?q=Rosanne+M.+Scholl+manship+school+of+mass+communication+louisiana+state+university+baton+rouge+la,white,High,0.008315484,0.007896663,0.021809919,0.9619779,0.9619779,0.021809919,0.94016796,manship school of mass communication louisiana state university baton rouge la,"4 Manship School of Mass Communication, Louisiana State University, Baton Rouge, LA, 70803",Louisiana State University,Exact,https://ror.org/05ect4e57,https://www.google.com/search?q=Rosanne+Scholl&source=lnms&tbm=isch&sa=X&ved=2ahUKEwjZu9jr1d35AhXdHzQIHcsIBbQQ_AUoAXoECAIQAw&biw=1237&bih=712&dpr=1,
10.1111/cccr.12108+1.0,10.1111/cccr.12108,https://academic.oup.com/ccc/article/9/2/231/3979305,2016,Watching From an Arm's Length: The Foreign Hand in Tamil Cinema,"Communication, Culture and Critique",2.0,1.0,Preeti Mudliar,Preeti,Mudliar,"1 Xerox Research Centre India, Bangalore, 560103",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Preeti+Mudliar,https://www.google.com/search?q=Preeti+Mudliar+xerox+research+centre+india+bangalore,female,0.98,619.0,Low,Preeti Mudliar,Preeti,Mudliar,"1 Xerox Research Centre India, Bangalore, 560103",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Preeti+Mudliar,https://www.google.com/search?q=Preeti+Mudliar+xerox+research+centre+india+bangalore,white,High,0.02070733,0.07084522,0.048512433,0.85993505,0.85993505,0.07084522,0.7890898,xerox research centre india bangalore,"1 Xerox Research Centre India, Bangalore, 560103",Bangalore Diabetes Centre,API_QUERY,https://ror.org/033q83c72,https://www.google.com/search?q=Preeti+Mudliar&source=lnms&tbm=isch&sa=X&ved=2ahUKEwjZu9jr1d35AhXdHzQIHcsIBbQQ_AUoAXoECAIQAw&biw=1237&bih=712&dpr=1,
10.1111/j.1468-2958.2000.tb00747.x+2.0,10.1111/j.1468-2958.2000.tb00747.x,https://academic.oup.com/hcr/article/26/1/3/4554808,2000,"The Impact of Television, Print, and Audio on Children's Recall of the News. A Study of Three Alternative Explanations for the Dual-Coding Hypothesis",Human Communication Research,2.0,2.0,Tom H. A. Van der Voort,Tom,Voort,"2 (Ph.D., Leiden University, the Netherlands, 1982) is a professor at the Center for Child and Media Studies, Leiden University, the Netherlands",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Tom+Voort,https://www.google.com/search?q=Tom+H.+A.+Van+der+Voort+is+a+professor+at+the+center+for+child+and+media+studies+leiden+university+the+netherlands,male,0.99,126230.0,High,Tom H. A. Van der Voort,Tom,Voort,"2 (Ph.D., Leiden University, the Netherlands, 1982) is a professor at the Center for Child and Media Studies, Leiden University, the Netherlands",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Tom+Voort,https://www.google.com/search?q=Tom+H.+A.+Van+der+Voort+is+a+professor+at+the+center+for+child+and+media+studies+leiden+university+the+netherlands,white,High,0.008501355,0.028257186,0.029723005,0.93351847,0.93351847,0.029723005,0.9037955,is a professor at the center for child and media studies leiden university the netherlands,"2 (Ph.D., Leiden University, the Netherlands, 1982) is a professor at the Center for Child and Media Studies, Leiden University, the Netherlands",Leiden University,Exact,https://ror.org/027bh9e22,https://www.google.com/search?q=Tom+Voort&source=lnms&tbm=isch&sa=X&ved=2ahUKEwjZu9jr1d35AhXdHzQIHcsIBbQQ_AUoAXoECAIQAw&biw=1237&bih=712&dpr=1,
10.1111/j.1468-2885.2002.tb00271.x+1.0,10.1111/j.1468-2885.2002.tb00271.x,https://academic.oup.com/ct/article/12/3/287/4110428,2002,Local Culture in Global Media: Excavating Colonial and Material Discourses in National Geographic,Communication Theory,1.0,1.0,Radhika Parameswaran,Radhika,Parameswaran,"1 Radhika Parameswaran is an assistant professor in the School of Journalism, Indiana University, Bloomington.",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Radhika+Parameswaran,https://www.google.com/search?q=Radhika+Parameswaran+radhika+parameswaran+is+an+assistant+professor+in+the+school+of+journalism+indiana+university+bloomington,female,0.96,313.0,Low,Radhika Parameswaran,Radhika,Parameswaran,"1 Radhika Parameswaran is an assistant professor in the School of Journalism, Indiana University, Bloomington.",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Radhika+Parameswaran,https://www.google.com/search?q=Radhika+Parameswaran+radhika+parameswaran+is+an+assistant+professor+in+the+school+of+journalism+indiana+university+bloomington,api,High,0.85029453,0.005684535,0.006481933,0.13753892,0.85029453,0.13753892,0.7127556,radhika parameswaran is an assistant professor in the school of journalism indiana university bloomington,"1 Radhika Parameswaran is an assistant professor in the School of Journalism, Indiana University, Bloomington.",Indiana University Bloomington,Exact,https://ror.org/02k40bc56,https://www.google.com/search?q=Radhika+Parameswaran&source=lnms&tbm=isch&sa=X&ved=2ahUKEwjZu9jr1d35AhXdHzQIHcsIBbQQ_AUoAXoECAIQAw&biw=1237&bih=712&dpr=1,
