authorID,doi,url,year,title,journal,numberOfAuthors,authorPosition,authorFullName,firstName,lastName,affiliation,gscholarLink,googleSearch,genderize,genderize_prob,genderize_basedon,genderAccuracy,authorFullName.1,firstName.1,lastName.1,affiliation.1,gscholarLink.1,googleSearch.1,race,racePredAccuracy,api,black,hispanic,white,raceHighest,raceSecondHighest,raceDiff,affProcessed,affiliation.2,ROR_AFFNAME,matchMethod,ROR_ID,type,firstNameLength,Coder
10.1093/joc/jqy040+1.0,10.1093/joc/jqy040,https://academic.oup.com/joc/article/68/5/942/5085510,2018,A Model of Attentiveness to Outlying News,Journal of Communication,2.0,1.0,P J Lamberson,P,Lamberson,"Department of Communication, University of California, Los Angeles, CA, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=P+Lamberson,https://www.google.com/search?q=P+J+Lamberson+department+of+communication+university+of+california+los+angeles+ca+usa,male,0.76,5390.0,Low,P J Lamberson,P,Lamberson,"Department of Communication, University of California, Los Angeles, CA, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=P+Lamberson,https://www.google.com/search?q=P+J+Lamberson+department+of+communication+university+of+california+los+angeles+ca+usa,white,Low,0.0070151715,0.25858846,0.026787896,0.70760846,0.70760846,0.25858846,0.44902,department of communication university of california los angeles ca usa,"Department of Communication, University of California, Los Angeles, CA, USA","University of California, Los Angeles",API_QUERY,https://ror.org/046rm7j60,R,1,jaemin
10.1093/hcr/hqab004+2.0,10.1093/hcr/hqab004,https://academic.oup.com/hcr/article/47/3/284/6298530,2021,The Cultivation of Parent and Child Materialism: A Parent–Child Dyadic Study,Human Communication Research,2.0,2.0,L J Shrum,L,Shrum,"Department of Marketing, HEC Paris , Jouy-en-Josas, 78351,  France",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=L+Shrum,https://www.google.com/search?q=L+J+Shrum+department+of+marketing+hec+paris+jouy+en+josas+france,male,0.6,8939.0,Low,L J Shrum,L,Shrum,"Department of Marketing, HEC Paris , Jouy-en-Josas, 78351,  France",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=L+Shrum,https://www.google.com/search?q=L+J+Shrum+department+of+marketing+hec+paris+jouy+en+josas+france,white,High,0.030070161,0.06051286,0.019590707,0.8898263,0.8898263,0.06051286,0.82931346,department of marketing hec paris jouy en josas france,"Department of Marketing, HEC Paris , Jouy-en-Josas, 78351,  France",Centre Île-de-France - Jouy-en-Josas - Antony,API_QUERY,https://ror.org/00gtg0p11,R,1,jongmin
10.1093/ct/qtaa008+1.0,10.1093/ct/qtaa008,https://academic.oup.com/ct/article/31/1/42/5890673,2021,Fake News is Not a Virus: On Platforms and Their Effects,Communication Theory,1.0,1.0,C W Anderson,C,Anderson,"Media and Communication, University of Leeds , Leeds,  UK",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=C+Anderson,https://www.google.com/search?q=C+W+Anderson+media+and+communication+university+of+leeds+leeds+uk,male,0.67,7145.0,Low,C W Anderson,C,Anderson,"Media and Communication, University of Leeds , Leeds,  UK",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=C+Anderson,https://www.google.com/search?q=C+W+Anderson+media+and+communication+university+of+leeds+leeds+uk,white,Low,0.011475616,0.18830742,0.024972776,0.7752441,0.7752441,0.18830742,0.5869367,media and communication university of leeds leeds uk,"Media and Communication, University of Leeds , Leeds,  UK",University of Leeds,Exact,https://ror.org/024mrxd33,R,1,jaemin
10.1093/jcmc/zmaa006+1.0,10.1093/jcmc/zmaa006,https://academic.oup.com/jcmc/article/25/5/307/5896164,2020,Don’t Stress Me Now: Assessing the Regulatory Impact of Face-to-Face and Online Feedback Prosociality on Stress During an Important Life Event,Journal of Computer-Mediated Communication,5.0,1.0,C T Rodríguez-Hidalgo,C,Rodríguez-Hidalgo,"School of Communications and Journalism, Universidad Adolfo Ibáñez, Viña del Mar ,  Chile    Amsterdam School of Communication Research (ASCoR), Faculty of Social Sciences, University of Amsterdam (UvA) , 1018WV Amsterdam, The  Netherlands",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=C+Rodríguez-Hidalgo,https://www.google.com/search?q=C+T+Rodr%C3%ADguez-Hidalgo+school+of+communications+and+journalism+universidad+adolfo+ib+ez+vi+a+del+mar+chile+amsterdam+school+of+communication+research+faculty+of+social+sciences+university+of+amsterdam+wv+amsterdam+the+netherlands,male,0.67,7145.0,Low,C T Rodríguez-Hidalgo,C,Rodríguez-Hidalgo,"School of Communications and Journalism, Universidad Adolfo Ibáñez, Viña del Mar ,  Chile    Amsterdam School of Communication Research (ASCoR), Faculty of Social Sciences, University of Amsterdam (UvA) , 1018WV Amsterdam, The  Netherlands",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=C+Rodríguez-Hidalgo,https://www.google.com/search?q=C+T+Rodr%C3%ADguez-Hidalgo+school+of+communications+and+journalism+universidad+adolfo+ib+ez+vi+a+del+mar+chile+amsterdam+school+of+communication+research+faculty+of+social+sciences+university+of+amsterdam+wv+amsterdam+the+netherlands,hispanic,High,0.0024965643,0.00020595753,0.98810846,0.009188939,0.98810846,0.009188939,0.9789195,school of communications and journalism universidad adolfo ib ez vi a del mar chile amsterdam school of communication research faculty of social sciences university of amsterdam wv amsterdam the netherlands,"School of Communications and Journalism, Universidad Adolfo Ibáñez, Viña del Mar ,  Chile    Amsterdam School of Communication Research (ASCoR), Faculty of Social Sciences, University of Amsterdam (UvA) , 1018WV Amsterdam, The  Netherlands",University of Amsterdam,Exact,https://ror.org/04dkp9463,R,1,haley
10.1093/jcmc/zmaa006+2.0,10.1093/jcmc/zmaa006,https://academic.oup.com/jcmc/article/25/5/307/5896164,2020,Don’t Stress Me Now: Assessing the Regulatory Impact of Face-to-Face and Online Feedback Prosociality on Stress During an Important Life Event,Journal of Computer-Mediated Communication,5.0,2.0,E S H Tan,E,Tan,"Amsterdam School of Communication Research (ASCoR), Faculty of Social Sciences, University of Amsterdam (UvA) , 1018WV Amsterdam, The  Netherlands    Department of Media, Cognition and Communication, Faculty of Humanities, University of Copenhagen , DK-2300 Copenhagen S,  Denmark",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=E+Tan,https://www.google.com/search?q=E+S+H+Tan+amsterdam+school+of+communication+research+faculty+of+social+sciences+university+of+amsterdam+wv+amsterdam+the+netherlands+department+of+media+cognition+and+communication+faculty+of+humanities+university+of+copenhagen+dk+copenhagen+s+denmark,male,0.63,3900.0,Low,E S H Tan,E,Tan,"Amsterdam School of Communication Research (ASCoR), Faculty of Social Sciences, University of Amsterdam (UvA) , 1018WV Amsterdam, The  Netherlands    Department of Media, Cognition and Communication, Faculty of Humanities, University of Copenhagen , DK-2300 Copenhagen S,  Denmark",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=E+Tan,https://www.google.com/search?q=E+S+H+Tan+amsterdam+school+of+communication+research+faculty+of+social+sciences+university+of+amsterdam+wv+amsterdam+the+netherlands+department+of+media+cognition+and+communication+faculty+of+humanities+university+of+copenhagen+dk+copenhagen+s+denmark,api,High,0.9634199,0.008109444,0.0046386356,0.023832072,0.9634199,0.023832072,0.93958783,amsterdam school of communication research faculty of social sciences university of amsterdam wv amsterdam the netherlands department of media cognition and communication faculty of humanities university of copenhagen dk copenhagen s denmark,"Amsterdam School of Communication Research (ASCoR), Faculty of Social Sciences, University of Amsterdam (UvA) , 1018WV Amsterdam, The  Netherlands    Department of Media, Cognition and Communication, Faculty of Humanities, University of Copenhagen , DK-2300 Copenhagen S,  Denmark",University of Copenhagen,Exact,https://ror.org/035b05819,R,1,michelle
10.1093/jcmc/zmaa006+3.0,10.1093/jcmc/zmaa006,https://academic.oup.com/jcmc/article/25/5/307/5896164,2020,Don’t Stress Me Now: Assessing the Regulatory Impact of Face-to-Face and Online Feedback Prosociality on Stress During an Important Life Event,Journal of Computer-Mediated Communication,5.0,3.0,P W J Verlegh,P,Verlegh,"Department of Marketing, Faculty of Economics and Business Administration, Vrije Universiteit Amsterdam (VU) , 1081HV Amsterdam, The  Netherlands",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=P+Verlegh,https://www.google.com/search?q=P+W+J+Verlegh+department+of+marketing+faculty+of+economics+and+business+administration+vrije+universiteit+amsterdam+hv+amsterdam+the+netherlands,male,0.76,5390.0,Low,P W J Verlegh,P,Verlegh,"Department of Marketing, Faculty of Economics and Business Administration, Vrije Universiteit Amsterdam (VU) , 1081HV Amsterdam, The  Netherlands",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=P+Verlegh,https://www.google.com/search?q=P+W+J+Verlegh+department+of+marketing+faculty+of+economics+and+business+administration+vrije+universiteit+amsterdam+hv+amsterdam+the+netherlands,white,High,0.0039131064,0.022355212,0.029015413,0.9447163,0.9447163,0.029015413,0.91570085,department of marketing faculty of economics and business administration vrije universiteit amsterdam hv amsterdam the netherlands,"Department of Marketing, Faculty of Economics and Business Administration, Vrije Universiteit Amsterdam (VU) , 1081HV Amsterdam, The  Netherlands",Vrije Universiteit Amsterdam,API_QUERY,https://ror.org/008xxew50,R,1,michelle
10.1093/jcmc/zmaa006+4.0,10.1093/jcmc/zmaa006,https://academic.oup.com/jcmc/article/25/5/307/5896164,2020,Don’t Stress Me Now: Assessing the Regulatory Impact of Face-to-Face and Online Feedback Prosociality on Stress During an Important Life Event,Journal of Computer-Mediated Communication,5.0,4.0,I Beyens,I,Beyens,"Amsterdam School of Communication Research (ASCoR), Faculty of Social Sciences, University of Amsterdam (UvA) , 1018WV Amsterdam, The  Netherlands",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=I+Beyens,https://www.google.com/search?q=I+Beyens+amsterdam+school+of+communication+research+faculty+of+social+sciences+university+of+amsterdam+wv+amsterdam+the+netherlands,male,0.71,7997.0,Low,I Beyens,I,Beyens,"Amsterdam School of Communication Research (ASCoR), Faculty of Social Sciences, University of Amsterdam (UvA) , 1018WV Amsterdam, The  Netherlands",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=I+Beyens,https://www.google.com/search?q=I+Beyens+amsterdam+school+of+communication+research+faculty+of+social+sciences+university+of+amsterdam+wv+amsterdam+the+netherlands,white,Low,0.006950981,0.24682294,0.0222435,0.7239826,0.7239826,0.24682294,0.47715962,amsterdam school of communication research faculty of social sciences university of amsterdam wv amsterdam the netherlands,"Amsterdam School of Communication Research (ASCoR), Faculty of Social Sciences, University of Amsterdam (UvA) , 1018WV Amsterdam, The  Netherlands",University of Amsterdam,Exact,https://ror.org/04dkp9463,R,1,jeff
10.1093/jcmc/zmaa006+5.0,10.1093/jcmc/zmaa006,https://academic.oup.com/jcmc/article/25/5/307/5896164,2020,Don’t Stress Me Now: Assessing the Regulatory Impact of Face-to-Face and Online Feedback Prosociality on Stress During an Important Life Event,Journal of Computer-Mediated Communication,5.0,5.0,R Kühne,R,Kühne,"Amsterdam School of Communication Research (ASCoR), Faculty of Social Sciences, University of Amsterdam (UvA) , 1018WV Amsterdam, The  Netherlands",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=R+Kühne,https://www.google.com/search?q=R+K%C3%BChne+amsterdam+school+of+communication+research+faculty+of+social+sciences+university+of+amsterdam+wv+amsterdam+the+netherlands,male,0.65,7424.0,Low,R Kühne,R,Kühne,"Amsterdam School of Communication Research (ASCoR), Faculty of Social Sciences, University of Amsterdam (UvA) , 1018WV Amsterdam, The  Netherlands",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=R+Kühne,https://www.google.com/search?q=R+K%C3%BChne+amsterdam+school+of+communication+research+faculty+of+social+sciences+university+of+amsterdam+wv+amsterdam+the+netherlands,white,High,0.07055903,0.078442454,0.04850216,0.8024963,0.8024963,0.078442454,0.72405386,amsterdam school of communication research faculty of social sciences university of amsterdam wv amsterdam the netherlands,"Amsterdam School of Communication Research (ASCoR), Faculty of Social Sciences, University of Amsterdam (UvA) , 1018WV Amsterdam, The  Netherlands",University of Amsterdam,Exact,https://ror.org/04dkp9463,R,1,matthew
10.1093/jcmc/zmaa009+1.0,10.1093/jcmc/zmaa009,https://academic.oup.com/jcmc/article/25/5/346/5896236,2020,Good News! Communication Findings May be Underestimated: Comparing Effect Sizes with Self-Reported and Logged Smartphone Use Data,Journal of Computer-Mediated Communication,6.0,1.0,S Mo Jones-Jang,S,Jones-Jang,"Department of Communication, Boston College , Chestnut Hill, MA 02467,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=S+Jones-Jang,https://www.google.com/search?q=S+Mo+Jones-Jang+department+of+communication+boston+college+chestnut+hill+ma+usa,male,0.68,10151.0,Low,S Mo Jones-Jang,S,Jones-Jang,"Department of Communication, Boston College , Chestnut Hill, MA 02467,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=S+Jones-Jang,https://www.google.com/search?q=S+Mo+Jones-Jang+department+of+communication+boston+college+chestnut+hill+ma+usa,white,Low,0.025947219,0.23510233,0.0404394,0.698511,0.698511,0.23510233,0.46340868,department of communication boston college chestnut hill ma usa,"Department of Communication, Boston College , Chestnut Hill, MA 02467,  USA",Boston College,Exact,https://ror.org/02n2fzt79,R,1,jeff
10.1093/ccc/tcac013+1.0,10.1093/ccc/tcac013,https://academic.oup.com/ccc/article/15/2/211/6571700,2022,Biometric Bordering and Automatic Gender Recognition: Challenging Binary Gender Norms in Everyday Biometric Technologies,"Communication, Culture and Critique",2.0,1.0,C L Quinan,C,Quinan,"School of Culture and Communication, University of Melbourne , Melbourne,  Australia",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=C+Quinan,https://www.google.com/search?q=C+L+Quinan+school+of+culture+and+communication+university+of+melbourne+melbourne+australia,male,0.67,7145.0,Low,C L Quinan,C,Quinan,"School of Culture and Communication, University of Melbourne , Melbourne,  Australia",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=C+Quinan,https://www.google.com/search?q=C+L+Quinan+school+of+culture+and+communication+university+of+melbourne+melbourne+australia,white,Low,0.027290596,0.09102408,0.13971488,0.7419704,0.7419704,0.13971488,0.6022555,school of culture and communication university of melbourne melbourne australia,"School of Culture and Communication, University of Melbourne , Melbourne,  Australia",University of Melbourne,Exact,https://ror.org/01ej9dk98,R,1,jaemin
