,authorID,doi,url,year,title,journal,numberOfAuthors,authorPosition,authorFullName,firstName,lastName,affiliation,gscholarLink,googleSearch,genderize,genderize_prob,genderize_basedon,genderAccuracy,authorFullName.1,firstName.1,lastName.1,affiliation.1,gscholarLink.1,googleSearch.1,race,racePredAccuracy,api,black,hispanic,white,raceHighest,raceSecondHighest,raceDiff,affProcessed,affiliation.2,ROR_AFFNAME,matchMethod,ROR_ID,type,gender_prediction,race_prediction
10671,10.1093/ccc/tcac013+2.0,10.1093/ccc/tcac013,https://academic.oup.com/ccc/article/15/2/211/6571700,2022,Biometric Bordering and Automatic Gender Recognition: Challenging Binary Gender Norms in Everyday Biometric Technologies,"Communication, Culture and Critique",2.0,2.0,Mina Hunt,Mina,Hunt,"Department of Media and Culture Studies, Utrecht University , Utrecht,  The Netherlands",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Mina+Hunt,https://www.google.com/search?q=Mina+Hunt+department+of+media+and+culture+studies+utrecht+university+utrecht+the+netherlands,female,0.91,20051.0,High,Mina Hunt,Mina,Hunt,"Department of Media and Culture Studies, Utrecht University , Utrecht,  The Netherlands",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Mina+Hunt,https://www.google.com/search?q=Mina+Hunt+department+of+media+and+culture+studies+utrecht+university+utrecht+the+netherlands,white,Low,0.0053004967,0.206668,0.02780246,0.7602291,0.7602291,0.206668,0.5535611,department of media and culture studies utrecht university utrecht the netherlands,"Department of Media and Culture Studies, Utrecht University , Utrecht,  The Netherlands",Utrecht University,Exact,https://ror.org/04pp8hn57,R,,
8685,10.1093/jcmc/zmab021+1.0,10.1093/jcmc/zmab021,https://academic.oup.com/jcmc/article/27/1/zmab021/6472790,2022,Social Media Public Opinion as Flocks in a Murmuration: Conceptualizing and Measuring Opinion Expression on Social Media,Journal of Computer-Mediated Communication,3.0,1.0,Yini Zhang,Yini,Zhang,"Department of Communication, University at Buffalo , Buffalo, NY 14260-1020,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Yini+Zhang,https://www.google.com/search?q=Yini+Zhang+department+of+communication+university+at+buffalo+buffalo+ny+usa,female,0.92,53.0,Low,Yini Zhang,Yini,Zhang,"Department of Communication, University at Buffalo , Buffalo, NY 14260-1020,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Yini+Zhang,https://www.google.com/search?q=Yini+Zhang+department+of+communication+university+at+buffalo+buffalo+ny+usa,api,High,0.99543697,0.0007148271,0.0012433561,0.0026048752,0.99543697,0.0026048752,0.99283206,department of communication university at buffalo buffalo ny usa,"Department of Communication, University at Buffalo , Buffalo, NY 14260-1020,  USA","University at Buffalo, State University of New York",API_QUERY,https://ror.org/01y64my43,R,,
5008,10.1093/hcr/hqab021+1.0,10.1093/hcr/hqab021,https://academic.oup.com/hcr/article/48/2/292/6446545,2022,Communication Interdependence and Cohabitation: The Role of Interpersonal Technologies in Satisfaction and Disillusionment among Couples in Transition,Human Communication Research,2.0,1.0,Liesel L Sharabi,Liesel,Sharabi,"Hugh Downs School of Human Communication, Arizona State University , Tempe, AZ,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Liesel+Sharabi,https://www.google.com/search?q=Liesel+L+Sharabi+hugh+downs+school+of+human+communication+arizona+state+university+tempe+az+usa,female,0.99,150.0,Low,Liesel L Sharabi,Liesel,Sharabi,"Hugh Downs School of Human Communication, Arizona State University , Tempe, AZ,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Liesel+Sharabi,https://www.google.com/search?q=Liesel+L+Sharabi+hugh+downs+school+of+human+communication+arizona+state+university+tempe+az+usa,white,Low,0.3218289,0.079180546,0.024760492,0.57423,0.57423,0.3218289,0.2524011,hugh downs school of human communication arizona state university tempe az usa,"Hugh Downs School of Human Communication, Arizona State University , Tempe, AZ,  USA",Arizona State University,Exact,https://ror.org/03efmqc40,R,,
10686,10.1093/ccc/tcab049+1.0,10.1093/ccc/tcab049,https://academic.oup.com/ccc/article/15/1/84/6359435,2022,The Robert Capa Myth: Hegemonic Masculinity in Photojournalism’s Professional Indoctrination,"Communication, Culture and Critique",2.0,1.0,Christopher T Assaf,Christopher,Assaf,"The School of Journalism &amp; Media, The University of Texas at Austin ,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Christopher+Assaf,https://www.google.com/search?q=Christopher+T+Assaf+the+school+of+journalism+amp+media+the+university+of+texas+at+austin+usa,male,0.99,53539.0,High,Christopher T Assaf,Christopher,Assaf,"The School of Journalism &amp; Media, The University of Texas at Austin ,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Christopher+Assaf,https://www.google.com/search?q=Christopher+T+Assaf+the+school+of+journalism+amp+media+the+university+of+texas+at+austin+usa,white,Low,0.11356948,0.10004422,0.046304733,0.7400816,0.7400816,0.11356948,0.6265121,the school of journalism amp media the university of texas at austin usa,"The School of Journalism &amp; Media, The University of Texas at Austin ,  USA",The University of Texas at Austin,Exact,https://ror.org/00hj54h04,R,,
5027,10.1093/hcr/hqab020+2.0,10.1093/hcr/hqab020,https://academic.oup.com/hcr/article/48/1/116/6430397,2022,How Do Individuals in a Radical Echo Chamber React to Opposing Views? Evidence from a Content Analysis of Stormfront,Human Communication Research,4.0,2.0,Nahema Marchal,Nahema,Marchal,"Institut für Politikwissenschaft, University of Zurich, Switzerland    PhD Social Science of the Internet, Oxford Internet Institute, University of Oxford (2021) ,  UK",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Nahema+Marchal,https://www.google.com/search?q=Nahema+Marchal+institut+f+r+politikwissenschaft+university+of+zurich+switzerland+phd+social+science+of+the+internet+oxford+internet+institute+university+of+oxford+uk,female,0.97,36.0,Low,Nahema Marchal,Nahema,Marchal,"Institut für Politikwissenschaft, University of Zurich, Switzerland    PhD Social Science of the Internet, Oxford Internet Institute, University of Oxford (2021) ,  UK",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Nahema+Marchal,https://www.google.com/search?q=Nahema+Marchal+institut+f+r+politikwissenschaft+university+of+zurich+switzerland+phd+social+science+of+the+internet+oxford+internet+institute+university+of+oxford+uk,white,Low,0.047245186,0.040829748,0.12447262,0.78745246,0.78745246,0.12447262,0.66297984,institut f r politikwissenschaft university of zurich switzerland phd social science of the internet oxford internet institute university of oxford uk,"Institut für Politikwissenschaft, University of Zurich, Switzerland    PhD Social Science of the Internet, Oxford Internet Institute, University of Oxford (2021) ,  UK",University of Oxford,Exact,https://ror.org/052gg0110,R,,
8679,10.1093/jcmc/zmab015+3.0,10.1093/jcmc/zmab015,https://academic.oup.com/jcmc/article/27/1/zmab015/6413702,2022,Social Media Browsing and Adolescent Well-Being: Challenging the “Passive Social Media Use Hypothesis”,Journal of Computer-Mediated Communication,5.0,3.0,J Loes Pouwels,Loes,Pouwels,"Amsterdam School of Communication Research, University of Amsterdam ,  The Netherlands",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Loes+Pouwels,https://www.google.com/search?q=J+Loes+Pouwels+amsterdam+school+of+communication+research+university+of+amsterdam+the+netherlands,female,0.96,1396.0,Low,J Loes Pouwels,Loes,Pouwels,"Amsterdam School of Communication Research, University of Amsterdam ,  The Netherlands",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Loes+Pouwels,https://www.google.com/search?q=J+Loes+Pouwels+amsterdam+school+of+communication+research+university+of+amsterdam+the+netherlands,white,Low,0.0037329404,0.18178003,0.025297733,0.7891892,0.7891892,0.18178003,0.6074092,amsterdam school of communication research university of amsterdam the netherlands,"Amsterdam School of Communication Research, University of Amsterdam ,  The Netherlands",University of Amsterdam,Exact,https://ror.org/04dkp9463,R,,
5007,10.1093/hcr/hqab023+2.0,10.1093/hcr/hqab023,https://academic.oup.com/hcr/article/48/2/265/6514635,2022,Resilience in Interracial–Interethnic Relationships in the United States: Assessing Relationship Maintenance and Communal Orientation as Protection Against Network Stigma,Human Communication Research,2.0,2.0,Tamara D Afifi,Tamara,Afifi,"Department of Communication, University of California , Santa Barbara, CA 93106,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Tamara+Afifi,https://www.google.com/search?q=Tamara+D+Afifi+department+of+communication+university+of+california+santa+barbara+ca+usa,female,0.98,42613.0,High,Tamara D Afifi,Tamara,Afifi,"Department of Communication, University of California , Santa Barbara, CA 93106,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Tamara+Afifi,https://www.google.com/search?q=Tamara+D+Afifi+department+of+communication+university+of+california+santa+barbara+ca+usa,white,Low,0.25383332,0.029286016,0.074298464,0.6425822,0.6425822,0.25383332,0.38874885,department of communication university of california santa barbara ca usa,"Department of Communication, University of California , Santa Barbara, CA 93106,  USA","University of California, Santa Barbara",API_QUERY,https://ror.org/02t274463,R,,
7681,10.1093/ct/qtab008+3.0,10.1093/ct/qtab008,https://academic.oup.com/ct/article/32/2/201/6333289,2022,Beyond Neutrality: Conceptualizing Platform Values,Communication Theory,3.0,3.0,Limor Shifman,Limor,Shifman,"Department of Communication &amp; Journalism, The Hebrew University of Jerusalem, Mount Scopus, Jerusalem 91905, Israel",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Limor+Shifman,https://www.google.com/search?q=Limor+Shifman+department+of+communication+amp+journalism+the+hebrew+university+of+jerusalem+mount+scopus+jerusalem+israel,female,0.97,98.0,Low,Limor Shifman,Limor,Shifman,"Department of Communication &amp; Journalism, The Hebrew University of Jerusalem, Mount Scopus, Jerusalem 91905, Israel",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Limor+Shifman,https://www.google.com/search?q=Limor+Shifman+department+of+communication+amp+journalism+the+hebrew+university+of+jerusalem+mount+scopus+jerusalem+israel,white,High,0.008453249,0.025119424,0.014640497,0.95178676,0.95178676,0.025119424,0.92666733,department of communication amp journalism the hebrew university of jerusalem mount scopus jerusalem israel,"Department of Communication &amp; Journalism, The Hebrew University of Jerusalem, Mount Scopus, Jerusalem 91905, Israel",Hebrew University of Jerusalem,Exact,https://ror.org/03qxff017,R,,
4991,10.1093/hcr/hqac009+2.0,10.1093/hcr/hqac009,https://academic.oup.com/hcr/article/48/3/462/6574432,2022,Artificial Intelligence and Impression Management: Consequences of Autonomous Conversational Agents Communicating on One’s Behalf,Human Communication Research,2.0,2.0,Paul M Leonardi,Paul,Leonardi,"Technology Management Program, Phelps Hall, University of California , Santa Barbara, CA, 93106-4020,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Paul+Leonardi,https://www.google.com/search?q=Paul+M+Leonardi+technology+management+program+phelps+hall+university+of+california+santa+barbara+ca+usa,male,0.99,148099.0,High,Paul M Leonardi,Paul,Leonardi,"Technology Management Program, Phelps Hall, University of California , Santa Barbara, CA, 93106-4020,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Paul+Leonardi,https://www.google.com/search?q=Paul+M+Leonardi+technology+management+program+phelps+hall+university+of+california+santa+barbara+ca+usa,white,High,0.015159643,0.0026180642,0.109910764,0.87231153,0.87231153,0.109910764,0.76240075,technology management program phelps hall university of california santa barbara ca usa,"Technology Management Program, Phelps Hall, University of California , Santa Barbara, CA, 93106-4020,  USA","University of California, Santa Barbara",API_QUERY,https://ror.org/02t274463,R,,
8664,10.1093/jcmc/zmac007+1.0,10.1093/jcmc/zmac007,https://academic.oup.com/jcmc/article/27/3/zmac007/6567657,2022,Rules for Mediated Romance: A Digital Exploration of How Couples Negotiate Expectations,Journal of Computer-Mediated Communication,1.0,1.0,Jamie Foster Campbell,Jamie,Campbell,"Communication Department, University of Illinois Chicago , 1007 W. Harrison Street, Chicago, IL 60607,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Jamie+Campbell,https://www.google.com/search?q=Jamie+Foster+Campbell+communication+department+university+of+illinois+chicago+w+harrison+street+chicago+il+usa,male,0.81,19333.0,High,Jamie Foster Campbell,Jamie,Campbell,"Communication Department, University of Illinois Chicago , 1007 W. Harrison Street, Chicago, IL 60607,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Jamie+Campbell,https://www.google.com/search?q=Jamie+Foster+Campbell+communication+department+university+of+illinois+chicago+w+harrison+street+chicago+il+usa,white,Low,0.005163473,0.23344956,0.026176378,0.73521066,0.73521066,0.23344956,0.5017611,communication department university of illinois chicago w harrison street chicago il usa,"Communication Department, University of Illinois Chicago , 1007 W. Harrison Street, Chicago, IL 60607,  USA",University of Illinois at Chicago,API_QUERY,https://ror.org/02mpq6x41,R,,
4995,10.1093/hcr/hqac012+2.0,10.1093/hcr/hqac012,https://academic.oup.com/hcr/article/48/3/516/6587151,2022,"Algorithmic Agents in the Hybrid Media System: Social Bots, Selective Amplification, and Partisan News about COVID-19",Human Communication Research,7.0,2.0,Jianing Li,Jianing,Li,"Department of Communication, University of South Florida, Tampa, FL, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Jianing+Li,https://www.google.com/search?q=Jianing+Li+department+of+communication+university+of+south+florida+tampa+fl+usa,male,0.65,23.0,Low,Jianing Li,Jianing,Li,"Department of Communication, University of South Florida, Tampa, FL, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Jianing+Li,https://www.google.com/search?q=Jianing+Li+department+of+communication+university+of+south+florida+tampa+fl+usa,api,High,0.9832666,0.0034270578,0.0033223706,0.009984065,0.9832666,0.009984065,0.9732825,department of communication university of south florida tampa fl usa,"Department of Communication, University of South Florida, Tampa, FL, USA",University of South Florida,Exact,https://ror.org/032db5x82,R,,
7683,10.1093/ct/qtaa035+1.0,10.1093/ct/qtaa035,https://academic.oup.com/ct/article/32/2/243/6132724,2022,Toward a Theoretical Framework of Relational Maintenance in Computer-Mediated Communication,Communication Theory,2.0,1.0,Adam J Mason,Adam,Mason,"Communication, Michigan State University , East Lansing, MI 48824-1312,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Adam+Mason,https://www.google.com/search?q=Adam+J+Mason+communication+michigan+state+university+east+lansing+mi+usa,male,0.98,116396.0,High,Adam J Mason,Adam,Mason,"Communication, Michigan State University , East Lansing, MI 48824-1312,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Adam+Mason,https://www.google.com/search?q=Adam+J+Mason+communication+michigan+state+university+east+lansing+mi+usa,white,Low,0.003659791,0.228352,0.024174592,0.74381363,0.74381363,0.228352,0.5154616,communication michigan state university east lansing mi usa,"Communication, Michigan State University , East Lansing, MI 48824-1312,  USA",Michigan State University,Exact,https://ror.org/05hs6h993,R,,
15,10.1093/joc/jqab054+1.0,10.1093/joc/jqab054,https://academic.oup.com/joc/article/72/2/145/6509144,2022,Media Systems in the Digital Age: An Empirical Comparison of 30 Countries,Journal of Communication,5.0,1.0,Edda Humprecht,Edda,Humprecht,"Department of Communication and Media Research, University of Zurich , Zurich,  Switzerland",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Edda+Humprecht,https://www.google.com/search?q=Edda+Humprecht+department+of+communication+and+media+research+university+of+zurich+zurich+switzerland,female,0.96,769.0,Low,Edda Humprecht,Edda,Humprecht,"Department of Communication and Media Research, University of Zurich , Zurich,  Switzerland",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Edda+Humprecht,https://www.google.com/search?q=Edda+Humprecht+department+of+communication+and+media+research+university+of+zurich+zurich+switzerland,white,High,0.004368656,0.034449767,0.021560136,0.9396215,0.9396215,0.034449767,0.90517175,department of communication and media research university of zurich zurich switzerland,"Department of Communication and Media Research, University of Zurich , Zurich,  Switzerland",University of Zurich,Exact,https://ror.org/02crff812,R,,
5034,10.1093/hcr/hqab013+5.0,10.1093/hcr/hqab013,https://academic.oup.com/hcr/article/48/1/147/6382273,2022,"Emotional Appeals, Climate Change, and Young Adults: A Direct Replication of Skurka et al. (2018)",Human Communication Research,5.0,5.0,Jeff Niederdeppe,Jeff,Niederdeppe,"Department of Communication, Cornell University , Ithaca, NY 14850,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Jeff+Niederdeppe,https://www.google.com/search?q=Jeff+Niederdeppe+department+of+communication+cornell+university+ithaca+ny+usa,male,0.99,32948.0,High,Jeff Niederdeppe,Jeff,Niederdeppe,"Department of Communication, Cornell University , Ithaca, NY 14850,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Jeff+Niederdeppe,https://www.google.com/search?q=Jeff+Niederdeppe+department+of+communication+cornell+university+ithaca+ny+usa,white,High,0.0016136108,0.02226478,0.039026227,0.9370954,0.9370954,0.039026227,0.8980692,department of communication cornell university ithaca ny usa,"Department of Communication, Cornell University , Ithaca, NY 14850,  USA",Cornell University,Exact,https://ror.org/05bnh6r87,R,,
4982,10.1093/hcr/hqac008+2.0,10.1093/hcr/hqac008,https://academic.oup.com/hcr/article/48/3/404/6572120,2022,My AI Friend: How Users of a Social Chatbot Understand Their Human–AI Friendship,Human Communication Research,3.0,2.0,Marita Skjuve,Marita,Skjuve,"SINTEF , Oslo,  Norway",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Marita+Skjuve,https://www.google.com/search?q=Marita+Skjuve+sintef+oslo+norway,female,0.98,4707.0,High,Marita Skjuve,Marita,Skjuve,"SINTEF , Oslo,  Norway",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Marita+Skjuve,https://www.google.com/search?q=Marita+Skjuve+sintef+oslo+norway,white,High,0.026094679,0.042293474,0.020983696,0.91062814,0.91062814,0.042293474,0.86833465,sintef oslo norway,"SINTEF , Oslo,  Norway",SINTEF,API_QUERY,https://ror.org/01f677e56,R,,
5031,10.1093/hcr/hqab013+2.0,10.1093/hcr/hqab013,https://academic.oup.com/hcr/article/48/1/147/6382273,2022,"Emotional Appeals, Climate Change, and Young Adults: A Direct Replication of Skurka et al. (2018)",Human Communication Research,5.0,2.0,Rainer Romero-Canyas,Rainer,Romero-Canyas,"Office of the Chief Scientist, Environmental Defense Fund, New York, NY 10010, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Rainer+Romero-Canyas,https://www.google.com/search?q=Rainer+Romero-Canyas+office+of+the+chief+scientist+environmental+defense+fund+new+york+ny+usa,male,0.99,7008.0,High,Rainer Romero-Canyas,Rainer,Romero-Canyas,"Office of the Chief Scientist, Environmental Defense Fund, New York, NY 10010, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Rainer+Romero-Canyas,https://www.google.com/search?q=Rainer+Romero-Canyas+office+of+the+chief+scientist+environmental+defense+fund+new+york+ny+usa,white,Low,0.01923508,0.10133896,0.08093976,0.7984862,0.7984862,0.10133896,0.6971472,office of the chief scientist environmental defense fund new york ny usa,"Office of the Chief Scientist, Environmental Defense Fund, New York, NY 10010, USA",Office of the Chief Scientist,API_QUERY,https://ror.org/00f21s284,R,,
4994,10.1093/hcr/hqac012+1.0,10.1093/hcr/hqac012,https://academic.oup.com/hcr/article/48/3/516/6587151,2022,"Algorithmic Agents in the Hybrid Media System: Social Bots, Selective Amplification, and Partisan News about COVID-19",Human Communication Research,7.0,1.0,Zening Duan,Zening,Duan,"School of Journalism and Mass Communication, University of Wisconsin-Madison, Madison, WI, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Zening+Duan,https://www.google.com/search?q=Zening+Duan+school+of+journalism+and+mass+communication+university+of+wisconsin+madison+madison+wi+usa,female,1.0,2.0,Low,Zening Duan,Zening,Duan,"School of Journalism and Mass Communication, University of Wisconsin-Madison, Madison, WI, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Zening+Duan,https://www.google.com/search?q=Zening+Duan+school+of+journalism+and+mass+communication+university+of+wisconsin+madison+madison+wi+usa,api,High,0.8372821,0.01559005,0.061667435,0.08546041,0.8372821,0.08546041,0.7518217,school of journalism and mass communication university of wisconsin madison madison wi usa,"School of Journalism and Mass Communication, University of Wisconsin-Madison, Madison, WI, USA",University of Wisconsin–Madison,API_QUERY,https://ror.org/01y2jtd41,R,,
4998,10.1093/hcr/hqac012+5.0,10.1093/hcr/hqac012,https://academic.oup.com/hcr/article/48/3/516/6587151,2022,"Algorithmic Agents in the Hybrid Media System: Social Bots, Selective Amplification, and Partisan News about COVID-19",Human Communication Research,7.0,5.0,Fan Chen,Fan,Chen,"Google LLC, New York, NY, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Fan+Chen,https://www.google.com/search?q=Fan+Chen+google+llc+new+york+ny+usa,male,0.56,2373.0,Low,Fan Chen,Fan,Chen,"Google LLC, New York, NY, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Fan+Chen,https://www.google.com/search?q=Fan+Chen+google+llc+new+york+ny+usa,api,High,0.9899115,0.00061434315,0.006623666,0.0028504543,0.9899115,0.006623666,0.9832878,google llc new york ny usa,"Google LLC, New York, NY, USA",New Music USA,API_QUERY,https://ror.org/030rh2891,R,,
7695,10.1093/ct/qtab005+1.0,10.1093/ct/qtab005,https://academic.oup.com/ct/article/32/1/68/6288105,2022,Rethinking the Public Sphere in an Age of Radical-Right Populism: A Case for Building an Empathetic Public Sphere,Communication Theory,1.0,1.0,Timo Korstenbroek,Timo,Korstenbroek,"Department of Sociology, VU University Amsterdam , De Boelelaan 1105, 1081 HV Amsterdam,  The Netherlands",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Timo+Korstenbroek,https://www.google.com/search?q=Timo+Korstenbroek+department+of+sociology+vu+university+amsterdam+de+boelelaan+hv+amsterdam+the+netherlands,male,0.99,16048.0,High,Timo Korstenbroek,Timo,Korstenbroek,"Department of Sociology, VU University Amsterdam , De Boelelaan 1105, 1081 HV Amsterdam,  The Netherlands",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Timo+Korstenbroek,https://www.google.com/search?q=Timo+Korstenbroek+department+of+sociology+vu+university+amsterdam+de+boelelaan+hv+amsterdam+the+netherlands,white,High,0.0008137367,0.000107008666,0.01176003,0.98731923,0.98731923,0.01176003,0.9755592,department of sociology vu university amsterdam de boelelaan hv amsterdam the netherlands,"Department of Sociology, VU University Amsterdam , De Boelelaan 1105, 1081 HV Amsterdam,  The Netherlands",Vrije Universiteit Amsterdam,API_QUERY,https://ror.org/008xxew50,R,,
47,10.1093/joc/jqac001+3.0,10.1093/joc/jqac001,https://academic.oup.com/joc/article/72/2/264/6517192,2022,Civil Society Networks and Malaysian Government Reform: Considering Issue Homophily in Interorganizational Relationships,Journal of Communication,3.0,3.0,Vilma Luoma-aho,Vilma,Luoma-Aho,"Department of Communication, University of Jyväskylä , Jyväskylä,  Finland",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Vilma+Luoma-Aho,https://www.google.com/search?q=Vilma+Luoma-aho+department+of+communication+university+of+jyv+skyl+jyv+skyl+finland,female,0.98,4190.0,High,Vilma Luoma-aho,Vilma,Luoma-Aho,"Department of Communication, University of Jyväskylä , Jyväskylä,  Finland",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Vilma+Luoma-Aho,https://www.google.com/search?q=Vilma+Luoma-aho+department+of+communication+university+of+jyv+skyl+jyv+skyl+finland,white,Low,0.11470338,0.052975357,0.051138345,0.78118294,0.78118294,0.11470338,0.6664796,department of communication university of jyv skyl jyv skyl finland,"Department of Communication, University of Jyväskylä , Jyväskylä,  Finland",Communication University of China,API_QUERY,https://ror.org/04facbs33,R,,
39,10.1093/joc/jqab052+18.0,10.1093/joc/jqab052,https://academic.oup.com/joc/article/72/2/187/6506191,2022,The Effects of Tobacco Coverage in the Public Communication Environment on Young People’s Decisions to Smoke Combustible Cigarettes,Journal of Communication,18.0,18.0,Laura A Gibson,Laura,Gibson,"Annenberg School for Communication, University of Pennsylvania , Philadelphia, PA 19104,  USA    Department of Medical Ethics and Health Policy, Perelman School of Medicine, University of Pennsylvania , Pennsylvania, PA 19104,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Laura+Gibson,https://www.google.com/search?q=Laura+A+Gibson+annenberg+school+for+communication+university+of+pennsylvania+philadelphia+pa+usa+department+of+medical+ethics+and+health+policy+perelman+school+of+medicine+university+of+pennsylvania+pennsylvania+pa+usa,female,0.98,288403.0,High,Laura A Gibson,Laura,Gibson,"Annenberg School for Communication, University of Pennsylvania , Philadelphia, PA 19104,  USA    Department of Medical Ethics and Health Policy, Perelman School of Medicine, University of Pennsylvania , Pennsylvania, PA 19104,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Laura+Gibson,https://www.google.com/search?q=Laura+A+Gibson+annenberg+school+for+communication+university+of+pennsylvania+philadelphia+pa+usa+department+of+medical+ethics+and+health+policy+perelman+school+of+medicine+university+of+pennsylvania+pennsylvania+pa+usa,white,Low,0.01156105,0.20052485,0.025380442,0.7625336,0.7625336,0.20052485,0.56200874,annenberg school for communication university of pennsylvania philadelphia pa usa department of medical ethics and health policy perelman school of medicine university of pennsylvania pennsylvania pa usa,"Annenberg School for Communication, University of Pennsylvania , Philadelphia, PA 19104,  USA    Department of Medical Ethics and Health Policy, Perelman School of Medicine, University of Pennsylvania , Pennsylvania, PA 19104,  USA",University of Pennsylvania,Exact,https://ror.org/00b30xv10,R,,
