,authorID,doi,url,year,title,journal,numberOfAuthors,authorPosition,authorFullName,firstName,lastName,affiliation,gscholarLink,googleSearch,genderize,genderize_prob,genderize_basedon,genderAccuracy,authorFullName.1,firstName.1,lastName.1,affiliation.1,gscholarLink.1,googleSearch.1,race,racePredAccuracy,api,black,hispanic,white,raceHighest,raceSecondHighest,raceDiff,affProcessed,affiliation.2,ROR_AFFNAME,matchMethod,ROR_ID,type,gender_prediction,genderpred_api,race_prediction,racepred_api
7688,10.1093/ct/qtab011+2.0,10.1093/ct/qtab011,https://academic.oup.com/ct/article/32/1/25/6338420,2022,An Empirical Procedure to Evaluate Misinformation Rejection and Deception in Mediated Communication Contexts,Communication Theory,6,2,Vanessa Boudewyns,Vanessa,Boudewyns,"Center for Communication Science, RTI International , Research Triangle Park, NC 27709,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Vanessa+Boudewyns,https://www.google.com/search?q=Vanessa+Boudewyns+center+for+communication+science+rti+international+research+triangle+park+nc+usa,female,0.98,123396,High,Vanessa Boudewyns,Vanessa,Boudewyns,"Center for Communication Science, RTI International , Research Triangle Park, NC 27709,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Vanessa+Boudewyns,https://www.google.com/search?q=Vanessa+Boudewyns+center+for+communication+science+rti+international+research+triangle+park+nc+usa,white,High,0.003636491,0.1214885,0.025463607,0.8494114,0.8494114,0.1214885,0.7279229,center for communication science rti international research triangle park nc usa,"Center for Communication Science, RTI International , Research Triangle Park, NC 27709,  USA",Research Triangle Park Foundation,API_QUERY,https://ror.org/03eqttr49,R,F,,0,
7690,10.1093/ct/qtab011+4.0,10.1093/ct/qtab011,https://academic.oup.com/ct/article/32/1/25/6338420,2022,An Empirical Procedure to Evaluate Misinformation Rejection and Deception in Mediated Communication Contexts,Communication Theory,6,4,Mihaela Johnson,Mihaela,Johnson,"Center for Communication Science, RTI International , Research Triangle Park, NC 27709,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Mihaela+Johnson,https://www.google.com/search?q=Mihaela+Johnson+center+for+communication+science+rti+international+research+triangle+park+nc+usa,female,0.98,17686,High,Mihaela Johnson,Mihaela,Johnson,"Center for Communication Science, RTI International , Research Triangle Park, NC 27709,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Mihaela+Johnson,https://www.google.com/search?q=Mihaela+Johnson+center+for+communication+science+rti+international+research+triangle+park+nc+usa,white,Low,0.005785845,0.3642752,0.021121541,0.60881746,0.60881746,0.3642752,0.24454227,center for communication science rti international research triangle park nc usa,"Center for Communication Science, RTI International , Research Triangle Park, NC 27709,  USA",Research Triangle Park Foundation,API_QUERY,https://ror.org/03eqttr49,R,F,,0,
10674,10.1093/ccc/tcac010+1.0,10.1093/ccc/tcac010,https://academic.oup.com/ccc/article/15/2/261/6565888,2022,Digital Diasporas: Staying with the Trouble,"Communication, Culture and Critique",2,1,Laura Candidatu,Laura,Candidatu,"Lecturer Utrecht University , The  Netherlands",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Laura+Candidatu,https://www.google.com/search?q=Laura+Candidatu+lecturer+utrecht+university+the+netherlands,female,0.98,288403,High,Laura Candidatu,Laura,Candidatu,"Lecturer Utrecht University , The  Netherlands",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Laura+Candidatu,https://www.google.com/search?q=Laura+Candidatu+lecturer+utrecht+university+the+netherlands,hispanic,Low,0.19965488,0.00369486,0.72310257,0.07354775,0.72310257,0.19965488,0.5234477,lecturer utrecht university the netherlands,"Lecturer Utrecht University , The  Netherlands",Utrecht University,Exact,https://ror.org/04pp8hn57,R,F,,0,
10,10.1093/joc/jqac013+1.0,10.1093/joc/jqac013,https://academic.oup.com/joc/article/72/3/401/6584379,2022,A Methodological Framework for Analyzing the Appearance and Duration of Media Effects,Journal of Communication,1,1,Fabian Thomas,Fabian,Thomas,"Institute for Communication Psychology and Media Education, University of Koblenz-Landau , Landau,  Germany",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Fabian+Thomas,https://www.google.com/search?q=Fabian+Thomas+institute+for+communication+psychology+and+media+education+university+of+koblenz+landau+landau+germany,male,0.99,27337,High,Fabian Thomas,Fabian,Thomas,"Institute for Communication Psychology and Media Education, University of Koblenz-Landau , Landau,  Germany",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Fabian+Thomas,https://www.google.com/search?q=Fabian+Thomas+institute+for+communication+psychology+and+media+education+university+of+koblenz+landau+landau+germany,white,Low,0.018929772,0.47096673,0.025770117,0.4843334,0.4843334,0.47096673,0.013366669,institute for communication psychology and media education university of koblenz landau landau germany,"Institute for Communication Psychology and Media Education, University of Koblenz-Landau , Landau,  Germany",University of Koblenz and Landau,API_QUERY,https://ror.org/01j9f6752,R,M,,0,
55,10.1093/joc/jqab043+2.0,10.1093/joc/jqab043,https://academic.oup.com/joc/article/72/1/33/6449425,2022,A Content Analysis of American Primetime Television: A 20-Year Update of the National Television Violence Studies,Journal of Communication,2,2,Nicole Martins,Nicole,Martins,"The Media School, Indiana University, Bloomington , Bloomington, IN,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Nicole+Martins,https://www.google.com/search?q=Nicole+Martins+the+media+school+indiana+university+bloomington+bloomington+in+usa,female,0.98,102075,High,Nicole Martins,Nicole,Martins,"The Media School, Indiana University, Bloomington , Bloomington, IN,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Nicole+Martins,https://www.google.com/search?q=Nicole+Martins+the+media+school+indiana+university+bloomington+bloomington+in+usa,white,High,0.002128445,0.080157526,0.08017216,0.8375418,0.8375418,0.08017216,0.75736964,the media school indiana university bloomington bloomington in usa,"The Media School, Indiana University, Bloomington , Bloomington, IN,  USA",Indiana University Bloomington,Exact,https://ror.org/02k40bc56,R,F,,0,
36,10.1093/joc/jqab052+15.0,10.1093/joc/jqab052,https://academic.oup.com/joc/article/72/2/187/6506191,2022,The Effects of Tobacco Coverage in the Public Communication Environment on Young People’s Decisions to Smoke Combustible Cigarettes,Journal of Communication,18,15,Hy Tran,Hy,Tran,"Social Data Collaboratory, NORC-University of Chicago , Chicago, IL 60637,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Hy+Tran,https://www.google.com/search?q=Hy+Tran+social+data+collaboratory+norc+university+of+chicago+chicago+il+usa,male,0.69,359,Low,Hy Tran,Hy,Tran,"Social Data Collaboratory, NORC-University of Chicago , Chicago, IL 60637,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Hy+Tran,https://www.google.com/search?q=Hy+Tran+social+data+collaboratory+norc+university+of+chicago+chicago+il+usa,api,High,0.98449427,0.001362983,0.004723576,0.009419233,0.98449427,0.009419233,0.975075,social data collaboratory norc university of chicago chicago il usa,"Social Data Collaboratory, NORC-University of Chicago , Chicago, IL 60637,  USA",University of Chicago,Exact,https://ror.org/024mw5h28,R,M,,2,
5001,10.1093/hcr/hqac003+1.0,10.1093/hcr/hqac003,https://academic.oup.com/hcr/article/48/2/179/6527522,2022,Better Ask Your Neighbor: Renegotiating Media Trust During the Russian–Ukrainian Conflict,Human Communication Research,1,1,Olga Pasitselska,Olga,Pasitselska,"Department of Communication and Journalism,  The Hebrew University of Jerusalem , Jerusalem 91905,  Israel",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Olga+Pasitselska,https://www.google.com/search?q=Olga+Pasitselska+department+of+communication+and+journalism+the+hebrew+university+of+jerusalem+jerusalem+israel,female,0.98,80307,High,Olga Pasitselska,Olga,Pasitselska,"Department of Communication and Journalism,  The Hebrew University of Jerusalem , Jerusalem 91905,  Israel",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Olga+Pasitselska,https://www.google.com/search?q=Olga+Pasitselska+department+of+communication+and+journalism+the+hebrew+university+of+jerusalem+jerusalem+israel,white,High,0.001083545,0.000862376,0.014680168,0.983374,0.983374,0.014680168,0.96869385,department of communication and journalism the hebrew university of jerusalem jerusalem israel,"Department of Communication and Journalism,  The Hebrew University of Jerusalem , Jerusalem 91905,  Israel",Hebrew University of Jerusalem,Exact,https://ror.org/03qxff017,R,F,,0,
20,10.1093/joc/jqab051+1.0,10.1093/joc/jqab051,https://academic.oup.com/joc/article/72/2/165/6499883,2022,"#GirlGamers, Soldiers, and Public Relations: Analyzing Gender Representation in U.S. Army Esports",Journal of Communication,2,1,Jolene Fisher,Jolene,Fisher,"Department of Advertising, Public Relations &amp; Media Design, University of Colorado Boulder , Boulder, Colorado,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Jolene+Fisher,https://www.google.com/search?q=Jolene+Fisher+department+of+advertising+public+relations+amp+media+design+university+of+colorado+boulder+boulder+colorado+usa,female,0.98,822,Low,Jolene Fisher,Jolene,Fisher,"Department of Advertising, Public Relations &amp; Media Design, University of Colorado Boulder , Boulder, Colorado,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Jolene+Fisher,https://www.google.com/search?q=Jolene+Fisher+department+of+advertising+public+relations+amp+media+design+university+of+colorado+boulder+boulder+colorado+usa,white,High,0.006371614,0.10743873,0.0251304,0.86105925,0.86105925,0.10743873,0.7536205,department of advertising public relations amp media design university of colorado boulder boulder colorado usa,"Department of Advertising, Public Relations &amp; Media Design, University of Colorado Boulder , Boulder, Colorado,  USA",University of Colorado Boulder,Exact,https://ror.org/02ttsq026,R,F,,0,
5032,10.1093/hcr/hqab013+3.0,10.1093/hcr/hqab013,https://academic.oup.com/hcr/article/48/1/147/6382273,2022,"Emotional Appeals, Climate Change, and Young Adults: A Direct Replication of Skurka et al. (2018)",Human Communication Research,5,3,Helen H Joo,Helen,Joo,"Office of the Chief Scientist, Environmental Defense Fund, New York, NY 10010, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Helen+Joo,https://www.google.com/search?q=Helen+H+Joo+office+of+the+chief+scientist+environmental+defense+fund+new+york+ny+usa,female,0.98,32058,High,Helen H Joo,Helen,Joo,"Office of the Chief Scientist, Environmental Defense Fund, New York, NY 10010, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Helen+Joo,https://www.google.com/search?q=Helen+H+Joo+office+of+the+chief+scientist+environmental+defense+fund+new+york+ny+usa,api,High,0.95933264,0.011987781,0.01135538,0.017324235,0.95933264,0.017324235,0.94200844,office of the chief scientist environmental defense fund new york ny usa,"Office of the Chief Scientist, Environmental Defense Fund, New York, NY 10010, USA",Office of the Chief Scientist,API_QUERY,https://ror.org/00f21s284,R,F,,2,
19,10.1093/joc/jqab054+5.0,10.1093/joc/jqab054,https://academic.oup.com/joc/article/72/2/145/6509144,2022,Media Systems in the Digital Age: An Empirical Comparison of 30 Countries,Journal of Communication,5,5,Sven Engesser,Sven,Engesser,"Institute of Media and Communication, Technical University of Dresden , Dresden,  Germany",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Sven+Engesser,https://www.google.com/search?q=Sven+Engesser+institute+of+media+and+communication+technical+university+of+dresden+dresden+germany,male,0.99,35251,High,Sven Engesser,Sven,Engesser,"Institute of Media and Communication, Technical University of Dresden , Dresden,  Germany",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Sven+Engesser,https://www.google.com/search?q=Sven+Engesser+institute+of+media+and+communication+technical+university+of+dresden+dresden+germany,white,High,0.004183412,0.001935338,0.011226943,0.9826544,0.9826544,0.011226943,0.97142744,institute of media and communication technical university of dresden dresden germany,"Institute of Media and Communication, Technical University of Dresden , Dresden,  Germany",Technologiezentrum Dresden (Germany),API_QUERY,https://ror.org/01drpqr75,R,M,,0,
