authorID,doi,url,year,title,journal,numberOfAuthors,authorPosition,authorFullName,firstName,lastName,affiliation,gscholarLink,googleSearch,genderize,genderize_prob,genderize_basedon,genderAccuracy,authorFullName.1,firstName.1,lastName.1,affiliation.1,gscholarLink.1,googleSearch.1,race,racePredAccuracy,api,black,hispanic,white,raceHighest,raceSecondHighest,raceDiff,affProcessed,affiliation.2,ROR_AFFNAME,matchMethod,ROR_ID,type,gender_prediction,race_prediction
10.1111/j.1468-2958.1979.tb00290.x+1.0,10.1111/j.1468-2958.1979.tb00290.x,https://academic.oup.com/hcr/article/6/1/47/4626819,1979,Measuring Individual Differences in the Nonverbal Communication of Affect: The Slide-Viewing Paradigm,Human Communication Research,1.0,1.0,Ross Buck,Ross,Buck,"1 Ross Buck (Ph.D., University of Pittsburgh, 1970) is associate professor in the communication division, U-85, University of Connecticut, Storrs, CT 06268. This study accepted for publication April 30, 1979",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Ross+Buck,https://www.google.com/search?q=Ross+Buck+ross+buck+is+associate+professor+in+the+communication+division+u+university+of+connecticut+storrs+ct+this+study+accepted+for+publication+april,male,0.82,9241.0,High,Ross Buck,Ross,Buck,"1 Ross Buck (Ph.D., University of Pittsburgh, 1970) is associate professor in the communication division, U-85, University of Connecticut, Storrs, CT 06268. This study accepted for publication April 30, 1979",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Ross+Buck,https://www.google.com/search?q=Ross+Buck+ross+buck+is+associate+professor+in+the+communication+division+u+university+of+connecticut+storrs+ct+this+study+accepted+for+publication+april,white,High,0.0051690442,0.06733984,0.014885142,0.91260594,0.91260594,0.06733984,0.8452661,ross buck is associate professor in the communication division u university of connecticut storrs ct this study accepted for publication april,"1 Ross Buck (Ph.D., University of Pittsburgh, 1970) is associate professor in the communication division, U-85, University of Connecticut, Storrs, CT 06268. This study accepted for publication April 30, 1979",University of Connecticut,Exact,https://ror.org/02der9h97,R,,
10.1093/hcr/hqaa004+1.0,10.1093/hcr/hqaa004,https://academic.oup.com/hcr/article/46/2-3/120/5840403,2020,Meta-Analysis on Mediated Contact and Prejudice,Human Communication Research,3.0,1.0,John A Banas,John,Banas,"Department of Communication , University of Oklahoma, Norman, OK 73019,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=John+Banas,https://www.google.com/search?q=John+A+Banas+department+of+communication+university+of+oklahoma+norman+ok+usa,male,0.99,218952.0,High,John A Banas,John,Banas,"Department of Communication , University of Oklahoma, Norman, OK 73019,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=John+Banas,https://www.google.com/search?q=John+A+Banas+department+of+communication+university+of+oklahoma+norman+ok+usa,white,Low,0.112537935,0.043701373,0.24805628,0.5957045,0.5957045,0.24805628,0.3476482,department of communication university of oklahoma norman ok usa,"Department of Communication , University of Oklahoma, Norman, OK 73019,  USA",University of Oklahoma,Exact,https://ror.org/02aqsxs83,R,,
10.1111/j.1460-2466.1953.tb01074.x+1.0,10.1111/j.1460-2466.1953.tb01074.x,https://academic.oup.com/joc/article/3/1/63/4609587,1953,Report on the Sectional Meeting: Communication at the Elementary and Secondary School Levels,Journal of Communication,1.0,1.0,John J. Pruis,John,Pruis,"1 Southern Illinois University, Carbondale, Illinois",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=John+Pruis,https://www.google.com/search?q=John+J.+Pruis+southern+illinois+university+carbondale+illinois,male,0.99,218952.0,High,John J. Pruis,John,Pruis,"1 Southern Illinois University, Carbondale, Illinois",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=John+Pruis,https://www.google.com/search?q=John+J.+Pruis+southern+illinois+university+carbondale+illinois,white,Low,0.012213537,0.20147961,0.05790651,0.72840035,0.72840035,0.20147961,0.52692074,southern illinois university carbondale illinois,"1 Southern Illinois University, Carbondale, Illinois",Southern Illinois University Carbondale,Exact,https://ror.org/049kefs16,R,,
10.1111/j.1460-2466.1992.tb00785.x+1.0,10.1111/j.1460-2466.1992.tb00785.x,https://academic.oup.com/joc/article/42/2/131/4210053,1992,Professionalism and the Derision of Diversity: The Case of the Education of Journalists,Journal of Communication,1.0,1.0,Theodore L. Glasser,Theodore,Glasser,1 Theodore L. Glasser is associate professor of communication and director of the graduate program in journalism at Stanford University.,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Theodore+Glasser,https://www.google.com/search?q=Theodore+L.+Glasser+theodore+l+glasser+is+associate+professor+of+communication+and+director+of+the+graduate+program+in+journalism+at+stanford+university,male,0.98,2116.0,High,Theodore L. Glasser,Theodore,Glasser,1 Theodore L. Glasser is associate professor of communication and director of the graduate program in journalism at Stanford University.,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Theodore+Glasser,https://www.google.com/search?q=Theodore+L.+Glasser+theodore+l+glasser+is+associate+professor+of+communication+and+director+of+the+graduate+program+in+journalism+at+stanford+university,white,High,0.011008951,0.040909924,0.01736703,0.9307141,0.9307141,0.040909924,0.8898041,theodore l glasser is associate professor of communication and director of the graduate program in journalism at stanford university,1 Theodore L. Glasser is associate professor of communication and director of the graduate program in journalism at Stanford University.,Stanford University,Exact,https://ror.org/00f54p054,R,,
10.1111/j.1468-2958.2001.tb00790.x+1.0,10.1111/j.1468-2958.2001.tb00790.x,https://academic.oup.com/hcr/article/27/4/471/4554816,2001,"Behavioral Adaptation, Confidence, and Heuristic-Based Explanations of the Probing Effect",Human Communication Research,2.0,1.0,Timothy R. Levine,Timothy,Levine,"1 (Ph.D., Michigan State University, 1992), is an associate professor in the Department of Communication at Michigan State University.",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Timothy+Levine,https://www.google.com/search?q=Timothy+R.+Levine+is+an+associate+professor+in+the+department+of+communication+at+michigan+state+university,male,0.99,13105.0,High,Timothy R. Levine,Timothy,Levine,"1 (Ph.D., Michigan State University, 1992), is an associate professor in the Department of Communication at Michigan State University.",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Timothy+Levine,https://www.google.com/search?q=Timothy+R.+Levine+is+an+associate+professor+in+the+department+of+communication+at+michigan+state+university,white,High,0.0022658359,0.05426104,0.03665374,0.9068194,0.9068194,0.05426104,0.8525584,is an associate professor in the department of communication at michigan state university,"1 (Ph.D., Michigan State University, 1992), is an associate professor in the Department of Communication at Michigan State University.",Michigan State University,Exact,https://ror.org/05hs6h993,R,,
10.1111/hcre.12044+3.0,10.1111/hcre.12044,https://academic.oup.com/hcr/article/41/1/128/4064417,2015,Does Avatar Appearance Matter? How Team Visual Similarity and Member–Avatar Similarity Influence Virtual Team Performance,Human Communication Research,5.0,3.0,Frans Feldberg,Frans,Feldberg,"3 Department of Business Administration, Knowledge, Information &amp; Networks Research Group, VU University Amsterdam, 1081 HV, Amsterdam, the Netherlands,",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Frans+Feldberg,https://www.google.com/search?q=Frans+Feldberg+department+of+business+administration+knowledge+information+amp+networks+research+group+vu+university+amsterdam+hv+amsterdam+the+netherlands,male,0.98,5949.0,High,Frans Feldberg,Frans,Feldberg,"3 Department of Business Administration, Knowledge, Information &amp; Networks Research Group, VU University Amsterdam, 1081 HV, Amsterdam, the Netherlands,",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Frans+Feldberg,https://www.google.com/search?q=Frans+Feldberg+department+of+business+administration+knowledge+information+amp+networks+research+group+vu+university+amsterdam+hv+amsterdam+the+netherlands,white,High,0.0054873186,0.0047128927,0.0180769,0.9717229,0.9717229,0.0180769,0.953646,department of business administration knowledge information amp networks research group vu university amsterdam hv amsterdam the netherlands,"3 Department of Business Administration, Knowledge, Information &amp; Networks Research Group, VU University Amsterdam, 1081 HV, Amsterdam, the Netherlands,",Vrije Universiteit Amsterdam,API_QUERY,https://ror.org/008xxew50,R,,
10.1111/j.1460-2466.2004.tb02637.x+1.0,10.1111/j.1460-2466.2004.tb02637.x,https://academic.oup.com/joc/article/54/3/421/4102918,2004,The Efficacy of Inoculation in Televised Political Debates,Journal of Communication,2.0,1.0,Chasu An,Chasu,An,"1 Chasu An is an assistant professor in the Department of Communication at Kyungnam University, Mason, Korea",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Chasu+An,https://www.google.com/search?q=Chasu+An+chasu+an+is+an+assistant+professor+in+the+department+of+communication+at+kyungnam+university+mason+korea,male,0.67,3.0,Low,Chasu An,Chasu,An,"1 Chasu An is an assistant professor in the Department of Communication at Kyungnam University, Mason, Korea",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Chasu+An,https://www.google.com/search?q=Chasu+An+chasu+an+is+an+assistant+professor+in+the+department+of+communication+at+kyungnam+university+mason+korea,api,High,0.9274859,0.0059609124,0.017012952,0.049540292,0.9274859,0.049540292,0.8779456,chasu an is an assistant professor in the department of communication at kyungnam university mason korea,"1 Chasu An is an assistant professor in the Department of Communication at Kyungnam University, Mason, Korea",Kyungnam University,Exact,https://ror.org/037pkxm09,R,,
10.1093/ccc/tcaa025+1.0,10.1093/ccc/tcaa025,https://academic.oup.com/ccc/article/14/1/109/6055084,2021,Branding the Geospatial Industry,"Communication, Culture and Critique",1.0,1.0,Laura Beltz Imaoka,Laura,Imaoka,"School of the Arts, Technology, and Emerging Communication, Edith O’Donnell Arts &amp; Technology Building , Richardson, TX 75080-3021,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Laura+Imaoka,https://www.google.com/search?q=Laura+Beltz+Imaoka+school+of+the+arts+technology+and+emerging+communication+edith+o+donnell+arts+amp+technology+building+richardson+tx+usa,female,0.98,288403.0,High,Laura Beltz Imaoka,Laura,Imaoka,"School of the Arts, Technology, and Emerging Communication, Edith O’Donnell Arts &amp; Technology Building , Richardson, TX 75080-3021,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Laura+Imaoka,https://www.google.com/search?q=Laura+Beltz+Imaoka+school+of+the+arts+technology+and+emerging+communication+edith+o+donnell+arts+amp+technology+building+richardson+tx+usa,white,Low,0.28294754,0.024792338,0.06378254,0.6284776,0.6284776,0.28294754,0.34553003,school of the arts technology and emerging communication edith o donnell arts amp technology building richardson tx usa,"School of the Arts, Technology, and Emerging Communication, Edith O’Donnell Arts &amp; Technology Building , Richardson, TX 75080-3021,  USA","Westerdals Oslo School of Arts, Communication and Technology",API_QUERY,https://ror.org/02re25503,R,,
10.1111/j.1460-2466.1977.tb01801.x+1.0,10.1111/j.1460-2466.1977.tb01801.x,https://academic.oup.com/joc/article/27/1/85/4553892,1977,Participation in FCC Licensing,Journal of Communication,1.0,1.0,Joseph Grundfest,Joseph,Grundfest,1 Joseph Grundfest is on the staff of the Rand Corporation,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Joseph+Grundfest,https://www.google.com/search?q=Joseph+Grundfest+joseph+grundfest+is+on+the+staff+of+the+rand+corporation,male,0.99,60259.0,High,Joseph Grundfest,Joseph,Grundfest,1 Joseph Grundfest is on the staff of the Rand Corporation,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Joseph+Grundfest,https://www.google.com/search?q=Joseph+Grundfest+joseph+grundfest+is+on+the+staff+of+the+rand+corporation,white,High,0.006015646,0.019742986,0.032235783,0.94200563,0.94200563,0.032235783,0.90976983,joseph grundfest is on the staff of the rand corporation,1 Joseph Grundfest is on the staff of the Rand Corporation,RAND Corporation,API_QUERY,https://ror.org/00f2z7n96,R,,
10.1111/cccr.12182+2.0,10.1111/cccr.12182,https://academic.oup.com/ccc/article/10/4/712/4662975,2017,"Peripheral Stardom, Ethnicity, and Nationality: The Rise of the Argentinian Ricardo Darin From Local Celebrity to Transnational Recognition","Communication, Culture and Critique",2.0,2.0,Jerome Bourdon,Jerome,Bourdon,"2 Department of Communication, Tel Aviv University, Tel Aviv, Israel",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Jerome+Bourdon,https://www.google.com/search?q=Jerome+Bourdon+department+of+communication+tel+aviv+university+tel+aviv+israel,male,0.99,55481.0,High,Jerome Bourdon,Jerome,Bourdon,"2 Department of Communication, Tel Aviv University, Tel Aviv, Israel",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Jerome+Bourdon,https://www.google.com/search?q=Jerome+Bourdon+department+of+communication+tel+aviv+university+tel+aviv+israel,white,Low,0.0068998802,0.18832749,0.027995773,0.77677685,0.77677685,0.18832749,0.58844936,department of communication tel aviv university tel aviv israel,"2 Department of Communication, Tel Aviv University, Tel Aviv, Israel",Tel Aviv University,Exact,https://ror.org/04mhzgx49,R,,
10.1111/j.1468-2958.1984.tb00031.x+1.0,10.1111/j.1468-2958.1984.tb00031.x,https://academic.oup.com/hcr/article/10/4/539/4587800,1984,Compliance-Gaining Message Selection Behavior,Human Communication Research,2.0,1.0,Franklin J. Boster,Franklin,Boster,"1 Franklin J. Hosier (Ph.D., Michigan State University, 1978) is an associate professor of communication at Arizona State University, Tempe, AZ",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Franklin+Boster,https://www.google.com/search?q=Franklin+J.+Boster+franklin+j+hosier+is+an+associate+professor+of+communication+at+arizona+state+university+tempe+az,male,0.98,5852.0,High,Franklin J. Boster,Franklin,Boster,"1 Franklin J. Hosier (Ph.D., Michigan State University, 1978) is an associate professor of communication at Arizona State University, Tempe, AZ",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Franklin+Boster,https://www.google.com/search?q=Franklin+J.+Boster+franklin+j+hosier+is+an+associate+professor+of+communication+at+arizona+state+university+tempe+az,white,Low,0.0114028,0.19234644,0.049447455,0.7468033,0.7468033,0.19234644,0.55445683,franklin j hosier is an associate professor of communication at arizona state university tempe az,"1 Franklin J. Hosier (Ph.D., Michigan State University, 1978) is an associate professor of communication at Arizona State University, Tempe, AZ",Arizona State University,Exact,https://ror.org/03efmqc40,R,,
10.1111/j.1083-6101.2005.tb00269.x+2.0,10.1111/j.1083-6101.2005.tb00269.x,https://academic.oup.com/jcmc/article/10/4/JCMC1041/4614530,2005,Evaluation of a Systematic Design for a Virtual Patient Community,Journal of Computer-Mediated Communication,2.0,2.0,Helmut Krcmar,Helmut,Krcmar,"2 The Chair for Information Systems at the Department of Informatics, Technische Universitaet Muenchen, in Munich, Germany. His research interests include Information and Knowledge Management, IT-enabled Value webs, Service Management, Computer Supported Cooperative Work, and Information Systems in Health Care and eGovernment.",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Helmut+Krcmar,https://www.google.com/search?q=Helmut+Krcmar+the+chair+for+information+systems+at+the+department+of+informatics+technische+universitaet+muenchen+in+munich+germany+his+research+interests+include+information+and+knowledge+management+it+enabled+value+webs+service+management+computer+supported+cooperative+work+and+information+systems+in+health+care+and+egovernment,male,0.99,5703.0,High,Helmut Krcmar,Helmut,Krcmar,"2 The Chair for Information Systems at the Department of Informatics, Technische Universitaet Muenchen, in Munich, Germany. His research interests include Information and Knowledge Management, IT-enabled Value webs, Service Management, Computer Supported Cooperative Work, and Information Systems in Health Care and eGovernment.",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Helmut+Krcmar,https://www.google.com/search?q=Helmut+Krcmar+the+chair+for+information+systems+at+the+department+of+informatics+technische+universitaet+muenchen+in+munich+germany+his+research+interests+include+information+and+knowledge+management+it+enabled+value+webs+service+management+computer+supported+cooperative+work+and+information+systems+in+health+care+and+egovernment,white,High,0.0045849127,0.0035754072,0.018163802,0.97367585,0.97367585,0.018163802,0.95551205,the chair for information systems at the department of informatics technische universitaet muenchen in munich germany his research interests include information and knowledge management it enabled value webs service management computer supported cooperative work and information systems in health care and egovernment,"2 The Chair for Information Systems at the Department of Informatics, Technische Universitaet Muenchen, in Munich, Germany. His research interests include Information and Knowledge Management, IT-enabled Value webs, Service Management, Computer Supported Cooperative Work, and Information Systems in Health Care and eGovernment.",Ocean Bay (United States),API_QUERY,https://ror.org/05w4tdf58,R,,
