authorID,doi,url,year,title,journal,numberOfAuthors,authorPosition,authorFullName,firstName,lastName,affiliation,gscholarLink,googleSearch,genderize,genderize_prob,genderize_basedon,genderAccuracy,authorFullName.1,firstName.1,lastName.1,affiliation.1,gscholarLink.1,googleSearch.1,race,racePredAccuracy,api,black,hispanic,white,raceHighest,raceSecondHighest,raceDiff,affProcessed,affiliation.2,ROR_AFFNAME,matchMethod,ROR_ID,type,gender_prediction,race_prediction
10.1111/j.1460-2466.1965.tb01338.x+1.0,10.1111/j.1460-2466.1965.tb01338.x,https://academic.oup.com/joc/article/15/3/161/4569085,1965,A Field Study in Effects of a Public Relations Speech,Journal of Communication,2.0,1.0,Frederick Williams,Frederick,Williams,"1 This study was conducted as a project of the Speech Experimental Laboratory at the University of Wisconsin. It was supported by a grant from the Wisconsin Telephone Company, Milwaukee, Wis. Dr. Williams is Director of the Laboratory and Miss Sundene, a graduate student in Speech, was the chief research assistant on the project",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Frederick+Williams,https://www.google.com/search?q=Frederick+Williams+this+study+was+conducted+as+a+project+of+the+speech+experimental+laboratory+at+the+university+of+wisconsin+it+was+supported+by+a+grant+from+the+wisconsin+telephone+company+milwaukee+wis+dr+williams+is+director+of+the+laboratory+and+miss+sundene+a+graduate+student+in+speech+was+the+chief+research+assistant+on+the+project,male,0.99,5190.0,High,Frederick Williams,Frederick,Williams,"1 This study was conducted as a project of the Speech Experimental Laboratory at the University of Wisconsin. It was supported by a grant from the Wisconsin Telephone Company, Milwaukee, Wis. Dr. Williams is Director of the Laboratory and Miss Sundene, a graduate student in Speech, was the chief research assistant on the project",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Frederick+Williams,https://www.google.com/search?q=Frederick+Williams+this+study+was+conducted+as+a+project+of+the+speech+experimental+laboratory+at+the+university+of+wisconsin+it+was+supported+by+a+grant+from+the+wisconsin+telephone+company+milwaukee+wis+dr+williams+is+director+of+the+laboratory+and+miss+sundene+a+graduate+student+in+speech+was+the+chief+research+assistant+on+the+project,black,Low,0.0067084697,0.4976334,0.02966933,0.46598884,0.4976334,0.46598884,0.031644553,this study was conducted as a project of the speech experimental laboratory at the university of wisconsin it was supported by a grant from the wisconsin telephone company milwaukee wis dr williams is director of the laboratory and miss sundene a graduate student in speech was the chief research assistant on the project,"1 This study was conducted as a project of the Speech Experimental Laboratory at the University of Wisconsin. It was supported by a grant from the Wisconsin Telephone Company, Milwaukee, Wis. Dr. Williams is Director of the Laboratory and Miss Sundene, a graduate student in Speech, was the chief research assistant on the project",Wasatch Adaptive Sports,API_QUERY,https://ror.org/00cnma114,R,,
10.1111/j.1468-2958.1991.tb00543.x+2.0,10.1111/j.1468-2958.1991.tb00543.x,https://academic.oup.com/hcr/article/18/2/177/4575808,1991,Compliance and Satisfaction With Physician-Patient Communication: An Expectancy Theory Interpretation of Gender Differences,Human Communication Research,3.0,2.0,Thomas S. Birk,Thomas,Birk,2 University of Arizona at the time of this data collection,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Thomas+Birk,https://www.google.com/search?q=Thomas+S.+Birk+university+of+arizona+at+the+time+of+this+data+collection,male,0.99,176440.0,High,Thomas S. Birk,Thomas,Birk,2 University of Arizona at the time of this data collection,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Thomas+Birk,https://www.google.com/search?q=Thomas+S.+Birk+university+of+arizona+at+the+time+of+this+data+collection,white,High,0.029996112,0.040037137,0.029595038,0.9003717,0.9003717,0.040037137,0.8603345,university of arizona at the time of this data collection,2 University of Arizona at the time of this data collection,University of Arizona,Exact,https://ror.org/03m2x1q45,R,,
10.1111/j.1468-2958.1996.tb00385.x+2.0,10.1111/j.1468-2958.1996.tb00385.x,https://academic.oup.com/hcr/article/23/1/4/4564953,1996,Longitudinal Effects of Television on Children's Leisure-Time Reading: A Test of Three Explanatory Models,Human Communication Research,2.0,2.0,Tom H. A. Van Der Voort,Tom,Voort,"1 Cees M. Koolstra (Ph.D., Leiden University, 1993) is a research associate at the Center for Child and Media Studies at Leiden University, the Netherlands. Tom H. A. van der Voort (Ph.D., Leiden University, 1982) is a professor and head of the Center for Child and Media Studies at Leiden University, the Netherlands, and is research director of the Dutch Institute for the Study of Education and Human Development",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Tom+Voort,https://www.google.com/search?q=Tom+H.+A.+Van+Der+Voort+cees+m+koolstra+is+a+research+associate+at+the+center+for+child+and+media+studies+at+leiden+university+the+netherlands+tom+h+a+van+der+voort+is+a+professor+and+head+of+the+center+for+child+and+media+studies+at+leiden+university+the+netherlands+and+is+research+director+of+the+dutch+institute+for+the+study+of+education+and+human+development,male,0.99,126230.0,High,Tom H. A. Van Der Voort,Tom,Voort,"1 Cees M. Koolstra (Ph.D., Leiden University, 1993) is a research associate at the Center for Child and Media Studies at Leiden University, the Netherlands. Tom H. A. van der Voort (Ph.D., Leiden University, 1982) is a professor and head of the Center for Child and Media Studies at Leiden University, the Netherlands, and is research director of the Dutch Institute for the Study of Education and Human Development",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Tom+Voort,https://www.google.com/search?q=Tom+H.+A.+Van+Der+Voort+cees+m+koolstra+is+a+research+associate+at+the+center+for+child+and+media+studies+at+leiden+university+the+netherlands+tom+h+a+van+der+voort+is+a+professor+and+head+of+the+center+for+child+and+media+studies+at+leiden+university+the+netherlands+and+is+research+director+of+the+dutch+institute+for+the+study+of+education+and+human+development,white,High,0.008501355,0.028257186,0.029723005,0.93351847,0.93351847,0.029723005,0.9037955,cees m koolstra is a research associate at the center for child and media studies at leiden university the netherlands tom h a van der voort is a professor and head of the center for child and media studies at leiden university the netherlands and is research director of the dutch institute for the study of education and human development,"1 Cees M. Koolstra (Ph.D., Leiden University, 1993) is a research associate at the Center for Child and Media Studies at Leiden University, the Netherlands. Tom H. A. van der Voort (Ph.D., Leiden University, 1982) is a professor and head of the Center for Child and Media Studies at Leiden University, the Netherlands, and is research director of the Dutch Institute for the Study of Education and Human Development",Institute for the Study of Education and Human Development,Exact,https://ror.org/03hxrmn64,R,,
10.1111/j.1468-2958.2007.00295.x+2.0,10.1111/j.1468-2958.2007.00295.x,https://academic.oup.com/hcr/article/33/2/163/4210759,2007,When a Talking-Face Computer Agent is Half-Human and Half-Humanoid: Human Identity and Consistency Preference,Human Communication Research,2.0,2.0,Clifford Nass,Clifford,Nass,"2 Department of Communication, Stanford University, Stanford, CA 94305",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Clifford+Nass,https://www.google.com/search?q=Clifford+Nass+department+of+communication+stanford+university+stanford+ca,male,0.99,2029.0,High,Clifford Nass,Clifford,Nass,"2 Department of Communication, Stanford University, Stanford, CA 94305",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Clifford+Nass,https://www.google.com/search?q=Clifford+Nass+department+of+communication+stanford+university+stanford+ca,white,Low,0.00333563,0.21423702,0.033241004,0.74918634,0.74918634,0.21423702,0.5349493,department of communication stanford university stanford ca,"2 Department of Communication, Stanford University, Stanford, CA 94305",Stanford University,Exact,https://ror.org/00f54p054,R,,
10.1111/j.1460-2466.2000.tb02857.x+1.0,10.1111/j.1460-2466.2000.tb02857.x,https://academic.oup.com/joc/article/50/3/144/4110002,2000,The Mirror of Television: A Comparison of Black and White Adolescents' Body Image,Journal of Communication,1.0,1.0,Renée A. Botta,Renée,Botta,"1 2001 Euclid Ave., MU 247, Cleveland State University, Cleveland, OH 44115-2212, USA, Phone: 216 687 3995, Fax: 216 687 5435",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Renée+Botta,https://www.google.com/search?q=Ren%C3%A9e+A.+Botta+euclid+ave+mu+cleveland+state+university+cleveland+oh+usa+phone+fax,female,0.85,27.0,Low,Renée A. Botta,Renée,Botta,"1 2001 Euclid Ave., MU 247, Cleveland State University, Cleveland, OH 44115-2212, USA, Phone: 216 687 3995, Fax: 216 687 5435",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Renée+Botta,https://www.google.com/search?q=Ren%C3%A9e+A.+Botta+euclid+ave+mu+cleveland+state+university+cleveland+oh+usa+phone+fax,white,Low,0.09241129,0.05010301,0.060896236,0.79658955,0.79658955,0.09241129,0.7041783,euclid ave mu cleveland state university cleveland oh usa phone fax,"1 2001 Euclid Ave., MU 247, Cleveland State University, Cleveland, OH 44115-2212, USA, Phone: 216 687 3995, Fax: 216 687 5435",Cleveland State University,Exact,https://ror.org/002tx1f22,R,,
10.1093/jcmc/zmz009+10.0,10.1093/jcmc/zmz009,https://academic.oup.com/jcmc/article/24/4/182/5489530,2019,"Whose Lives Matter? Mass Shootings and Social Media Discourses of Sympathy and Policy, 2012–2014",Journal of Computer-Mediated Communication,10.0,10.0,Christine Garlough,Christine,Garlough,"Department of Gender and Women’s Studies, University of Wisconsin Madison, Madison, WI, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Christine+Garlough,https://www.google.com/search?q=Christine+Garlough+department+of+gender+and+women+s+studies+university+of+wisconsin+madison+madison+wi+usa,female,0.99,91004.0,High,Christine Garlough,Christine,Garlough,"Department of Gender and Women’s Studies, University of Wisconsin Madison, Madison, WI, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Christine+Garlough,https://www.google.com/search?q=Christine+Garlough+department+of+gender+and+women+s+studies+university+of+wisconsin+madison+madison+wi+usa,white,High,0.0035484429,0.10939747,0.029758275,0.8572958,0.8572958,0.10939747,0.74789834,department of gender and women s studies university of wisconsin madison madison wi usa,"Department of Gender and Women’s Studies, University of Wisconsin Madison, Madison, WI, USA",University of Wisconsin–Madison,API_QUERY,https://ror.org/01y2jtd41,R,,
10.1111/j.1468-2958.2010.01394.x+1.0,10.1111/j.1468-2958.2010.01394.x,https://academic.oup.com/hcr/article/37/1/78/4107495,2011,Is It worth Lying for? Physiological and Emotional Implications of Recalling Deceptive Affection,Human Communication Research,2.0,1.0,Sean M. Horan,Sean,Horan,"1 College of Communication, DePaul University, Chicago, IL 60604, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Sean+Horan,https://www.google.com/search?q=Sean+M.+Horan+college+of+communication+depaul+university+chicago+il+usa,male,0.99,25765.0,High,Sean M. Horan,Sean,Horan,"1 College of Communication, DePaul University, Chicago, IL 60604, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Sean+Horan,https://www.google.com/search?q=Sean+M.+Horan+college+of+communication+depaul+university+chicago+il+usa,white,High,0.024730237,0.023218347,0.046658147,0.90539324,0.90539324,0.046658147,0.8587351,college of communication depaul university chicago il usa,"1 College of Communication, DePaul University, Chicago, IL 60604, USA",DePaul University,Exact,https://ror.org/04xtx5t16,R,,
10.1111/j.1468-2958.2011.01405.x+3.0,10.1111/j.1468-2958.2011.01405.x,https://academic.oup.com/hcr/article/37/3/350/4107520,2011,Effects of Cognitive Complexity and Emotional Upset on Processing Supportive Messages: Two Tests of a Dual-Process Theory of Supportive Communication Outcomes,Human Communication Research,7.0,3.0,Amanda J. Holmstrom,Amanda,Holmstrom,"3 Department of Communication, Michigan State University, East Lansing, MI 48824, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Amanda+Holmstrom,https://www.google.com/search?q=Amanda+J.+Holmstrom+department+of+communication+michigan+state+university+east+lansing+mi+usa,female,0.98,49026.0,High,Amanda J. Holmstrom,Amanda,Holmstrom,"3 Department of Communication, Michigan State University, East Lansing, MI 48824, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Amanda+Holmstrom,https://www.google.com/search?q=Amanda+J.+Holmstrom+department+of+communication+michigan+state+university+east+lansing+mi+usa,white,High,0.0055829883,0.008654478,0.02008778,0.96567476,0.96567476,0.02008778,0.945587,department of communication michigan state university east lansing mi usa,"3 Department of Communication, Michigan State University, East Lansing, MI 48824, USA",Michigan State University,Exact,https://ror.org/05hs6h993,R,,
10.1111/j.1468-2885.2007.00305.x+1.0,10.1111/j.1468-2885.2007.00305.x,https://academic.oup.com/ct/article/17/4/411/4098783,2007,Bringing the Mountain to the Public: Dilemmas and Contradictions in the Procedures of Public Deliberation Initiatives That Aim to Get “Ordinary Citizens” to Deliberate Policy Issues,Communication Theory,1.0,1.0,Nurit Guttman,Nurit,Guttman,"1 Department of Communication, Tel Aviv University, Tel Aviv, Israel 69978",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Nurit+Guttman,https://www.google.com/search?q=Nurit+Guttman+department+of+communication+tel+aviv+university+tel+aviv+israel,female,0.9,80.0,Low,Nurit Guttman,Nurit,Guttman,"1 Department of Communication, Tel Aviv University, Tel Aviv, Israel 69978",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Nurit+Guttman,https://www.google.com/search?q=Nurit+Guttman+department+of+communication+tel+aviv+university+tel+aviv+israel,white,Low,0.0109775355,0.21756606,0.02226646,0.74919,0.74919,0.21756606,0.5316239,department of communication tel aviv university tel aviv israel,"1 Department of Communication, Tel Aviv University, Tel Aviv, Israel 69978",Tel Aviv University,Exact,https://ror.org/04mhzgx49,R,,
10.1111/j.1083-6101.2009.01494.x+3.0,10.1111/j.1083-6101.2009.01494.x,https://academic.oup.com/jcmc/article/15/1/83/4064812,2009,"Facebook and Online Privacy: Attitudes, Behaviors, and Unintended Consequences",Journal of Computer-Mediated Communication,4.0,3.0,Ann-Kathrin Horn,Ann-Kathrin,Horn,"2 Institut für Kommunikationswissenschaft, Leipzig University (Germany)",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Ann-Kathrin+Horn,https://www.google.com/search?q=Ann-Kathrin+Horn+institut+f+r+kommunikationswissenschaft+leipzig+university,female,0.98,1668.0,Low,Ann-Kathrin Horn,Ann-Kathrin,Horn,"2 Institut für Kommunikationswissenschaft, Leipzig University (Germany)",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Ann-Kathrin+Horn,https://www.google.com/search?q=Ann-Kathrin+Horn+institut+f+r+kommunikationswissenschaft+leipzig+university,white,High,0.0074836714,0.1150487,0.02887814,0.84858954,0.84858954,0.1150487,0.73354083,institut f r kommunikationswissenschaft leipzig university,"2 Institut für Kommunikationswissenschaft, Leipzig University (Germany)",Leipzig University,Exact,https://ror.org/03s7gtk40,R,,
