hongtao,jeff,kristen
R,R,R
R,R,R
M,M,M
M,M,M
R,R,R
M,M,M
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,M,M
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
M,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
M,M,M
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
M,M,M
M,M,M
M,M,M
M,R,R
R,R,R
R,R,R
R,R,R
M,R,R
R,R,R
R,R,R
M,R,R
M,M,M
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
M,R,R
R,R,R
R,R,R
R,R,R
R,R,R
R,R,R
M,M,M
R,R,R
R,R,R
R,R,R
M,M,M
M,R,R
M,M,M
M,M,R
M,R,R
M,M,M
M,M,M
M,M,M
