authorID,new_country_code,new_afftype,Coder,firstName,genderize,doi,gender_prediction,race_prediction,race
10.1093/jcmc/zmab019+4.0,AT,Education,Haley,Jana,female,10.1093/jcmc/zmab019,F,0.0,White
10.1093/jcmc/zmab019+5.0,AT,Education,Haley,Sophie,female,10.1093/jcmc/zmab019,F,0.0,White
10.1093/joc/jqab052+5.0,US,Education,Haley,Michelle,female,10.1093/joc/jqab052,F,2.0,Asian
10.1093/ccc/tcac007+1.0,CN,Education,Haley,Saskia,female,10.1093/ccc/tcac007,F,0.0,White
10.1093/joc/jqac012+4.0,US,Education,Haley,Bryant,male,10.1093/joc/jqac012,M,0.0,White
10.1093/joc/jqab052+12.0,US,Education,Haley,Jiaying,female,10.1093/joc/jqab052,F,2.0,Asian
10.1093/ccc/tcab045+1.0,US,Education,Haley,Laurena,female,10.1093/ccc/tcab045,F,3.0,Hispanic
10.1093/hcr/hqab020+3.0,NL,Education,Haley,Bharath,male,10.1093/hcr/hqab020,M,2.0,Asian
10.1093/hcr/hqac004+1.0,NL,Education,Haley,Anne,female,10.1093/hcr/hqac004,F,0.0,White
10.1093/hcr/hqab014+2.0,US,Education,Haley,Trevor,male,10.1093/hcr/hqab014,M,0.0,White
10.1093/joc/jqab048+2.0,US,Education,Haley,Dolores,female,10.1093/joc/jqab048,F,3.0,Hispanic
10.1093/joc/jqab024+3.0,BE,Education,Haley,Gert-Jan,male,10.1093/joc/jqab024,M,0.0,White
10.1093/joc/jqab046+3.0,CN,Education,Haley,Michael,male,10.1093/joc/jqab046,M,2.0,Asian
10.1093/hcr/hqab020+1.0,GB,Education,Haley,Jonathan,male,10.1093/hcr/hqab020,M,0.0,White
10.1093/joc/jqac001+1.0,US,Education,Haley,Erich,male,10.1093/joc/jqac001,M,0.0,White
10.1093/joc/jqac002+2.0,GB,Education,Haley,Cristian,male,10.1093/joc/jqac002,M,0.0,White
10.1093/joc/jqac011+1.0,US,Education,Haley,Dominik,male,10.1093/joc/jqac011,M,0.0,White
10.1093/ct/qtab011+3.0,US,Non Education,Haley,Kevin,male,10.1093/ct/qtab011,M,0.0,White
10.1093/joc/jqab052+17.0,US,Education,Haley,Qinghua,male,10.1093/joc/jqab052,F,2.0,Asian
10.1093/joc/jqac011+3.0,SG,Education,Haley,Ozan,male,10.1093/joc/jqac011,M,0.0,White
10.1093/ccc/tcab065+1.0,US,Education,Haley,Nick,male,10.1093/ccc/tcab065,M,0.0,White
10.1093/joc/jqac011+2.0,US,Education,Haley,Matthew,male,10.1093/joc/jqac011,M,0.0,White
10.1093/jcmc/zmac004+1.0,US,Education,Haley,Katy,female,10.1093/jcmc/zmac004,F,0.0,White
10.1093/ccc/tcac009+1.0,US,Education,Michelle,Nicholas,male,10.1093/ccc/tcac009,M,0.0,White
10.1093/jcmc/zmab015+4.0,NL,Education,Michelle,Irene,female,10.1093/jcmc/zmab015,F,0.0,White
10.1093/jcmc/zmac006+2.0,CN,Education,Michelle,Jingyuan,male,10.1093/jcmc/zmac006,F,2.0,Asian
10.1093/hcr/hqab018+1.0,US,Education,Michelle,Kristina,female,10.1093/hcr/hqab018,F,2.0,Asian
10.1093/hcr/hqab017+3.0,US,Education,Michelle,Shawn,male,10.1093/hcr/hqab017,F,0.0,White
10.1093/ct/qtab011+5.0,US,Non Education,Michelle,Amie,female,10.1093/ct/qtab011,F,0.0,White
10.1093/joc/jqab052+14.0,US,Education,Michelle,Leeann,female,10.1093/joc/jqab052,F,0.0,White
10.1093/joc/jqab052+4.0,US,Education,Michelle,Veronica,female,10.1093/joc/jqab052,F,0.0,White
10.1093/joc/jqab051+1.0,US,Education,Michelle,Jolene,female,10.1093/joc/jqab051,F,0.0,White
10.1093/joc/jqab052+10.0,US,Education,Michelle,Stella,female,10.1093/joc/jqab052,F,2.0,Asian
10.1093/joc/jqab044+5.0,US,Education,Michelle,Robyn,female,10.1093/joc/jqab044,F,1.0,Black
10.1093/hcr/hqac002+1.0,US,Education,Michelle,Ryan,male,10.1093/hcr/hqac002,M,0.0,White
10.1093/joc/jqab054+2.0,CH,Education,Michelle,Laia,female,10.1093/joc/jqab054,F,3.0,Hispanic
10.1093/hcr/hqac012+4.0,US,Education,Michelle,Kai-Cheng,,10.1093/hcr/hqac012,M,2.0,Asian
10.1093/joc/jqac012+1.0,US,Education,Michelle,Paul,male,10.1093/joc/jqac012,M,0.0,White
10.1093/jcmc/zmac005+2.0,US,Education,Michelle,Andrea,male,10.1093/jcmc/zmac005,F,0.0,White
10.1093/jcmc/zmac006+1.0,CN,Education,Michelle,Yue,female,10.1093/jcmc/zmac006,F,2.0,Asian
10.1093/joc/jqab046+2.0,KR,Education,Michelle,Yonghwan,male,10.1093/joc/jqab046,M,2.0,Asian
10.1093/hcr/hqab021+2.0,US,Education,Michelle,Elizabeth,female,10.1093/hcr/hqab021,F,0.0,White
10.1093/jcmc/zmab019+1.0,SG,Education,Michelle,Kokil,male,10.1093/jcmc/zmab019,F,2.0,Asian
10.1093/joc/jqab043+2.0,US,Education,Michelle,Nicole,female,10.1093/joc/jqab043,F,0.0,White
