source,target,value
M_White,F_White,513
M_White,F_Asian,146
M_White,M_Asian,139
F_White,F_Asian,129
M_Asian,F_Asian,106
M_Asian,F_White,95
M_White,M_Hispanic,44
M_White,F_Hispanic,41
F_White,F_Hispanic,38
M_Hispanic,F_White,36
F_White,F_Black,23
F_Hispanic,F_Asian,22
M_Black,F_White,19
M_White,F_Black,18
F_White,F_Middle Eastern,16
M_White,F_Middle Eastern,14
M_White,M_Middle Eastern,14
M_Hispanic,M_Asian,13
M_Middle Eastern,F_White,12
M_White,M_Black,12
M_Hispanic,F_Hispanic,12
M_Asian,F_Hispanic,10
M_Hispanic,F_Asian,9
M_Asian,F_Black,8
M_Black,F_Asian,8
F_Hispanic,F_Black,6
M_Black,M_Asian,5
M_Middle Eastern,M_Asian,5
F_Middle Eastern,F_Asian,5
M_Asian,F_Middle Eastern,5
M_Middle Eastern,F_Middle Eastern,4
M_Middle Eastern,F_Asian,4
M_Hispanic,F_Black,3
F_Black,F_Asian,3
M_White,M_Indigenous,3
M_Black,F_Black,2
M_Indigenous,F_White,2
F_White,F_Indigenous,2
M_Black,F_Middle Eastern,1
F_Indigenous,F_Black,1
N_Hispanic,M_White,1
N_White,M_Hispanic,1
M_Black,F_Hispanic,1
M_Middle Eastern,M_Black,1
N_Asian,F_Hispanic,1
N_Asian,F_Black,1
M_Middle Eastern,F_Black,1
F_Middle Eastern,F_Black,1
M_White,F_Indigenous,1
M_Middle Eastern,M_Hispanic,1
