source,target,value
M_White,F_White,244
F_White,M_White,215
F_Asian,M_White,60
M_Asian,M_White,51
M_White,F_Asian,50
M_White,M_Asian,50
F_White,F_Asian,50
F_Asian,F_White,45
M_Asian,F_Asian,42
F_Asian,M_Asian,42
M_Asian,F_White,31
F_White,M_Asian,30
M_White,F_Hispanic,24
M_Hispanic,M_White,15
F_White,M_Hispanic,15
F_White,F_Hispanic,15
M_White,M_Hispanic,14
F_White,F_Black,12
F_Hispanic,M_White,11
M_Hispanic,F_White,11
M_White,F_Black,9
M_White,M_Middle Eastern,9
F_Hispanic,F_White,9
M_White,M_Black,8
F_Middle Eastern,F_White,8
F_Hispanic,F_Asian,8
F_White,M_Black,8
F_Middle Eastern,M_White,6
M_White,F_Middle Eastern,6
F_Hispanic,M_Hispanic,5
M_Black,F_White,5
M_Asian,F_Hispanic,4
F_Black,F_White,4
M_Middle Eastern,M_White,4
M_Middle Eastern,F_White,4
M_Hispanic,F_Hispanic,4
M_Asian,M_Hispanic,4
F_Asian,F_Hispanic,3
M_Asian,F_Middle Eastern,3
M_Hispanic,M_Asian,3
F_Asian,M_Hispanic,3
F_White,F_Middle Eastern,3
F_Asian,M_Black,3
F_White,M_Middle Eastern,2
F_Hispanic,M_Asian,2
F_Asian,M_Middle Eastern,2
F_Middle Eastern,F_Asian,2
F_White,F_Indigenous,2
F_Black,M_White,2
M_Asian,F_Black,2
M_Middle Eastern,F_Middle Eastern,2
M_Hispanic,F_Asian,2
F_Middle Eastern,M_Middle Eastern,2
F_Black,F_Hispanic,2
M_White,M_Indigenous,2
M_Black,M_White,2
M_Indigenous,F_White,1
M_Indigenous,M_White,1
F_Middle Eastern,M_Asian,1
M_White,F_Indigenous,1
M_Asian,M_Black,1
M_White,N_Hispanic,1
F_Black,M_Asian,1
N_Asian,F_Black,1
N_Asian,F_Hispanic,1
F_Hispanic,F_Black,1
F_Black,M_Hispanic,1
N_White,M_Hispanic,1
M_Middle Eastern,M_Asian,1
M_Middle Eastern,F_Asian,1
F_Asian,F_Black,1
F_Indigenous,F_Black,1
M_Asian,M_Middle Eastern,1
M_Black,F_Asian,1
