source,target,value
PH,US,26
DE,US,26
SG,US,23
NL,US,23
GB,US,19
DE,NL,16
CA,US,14
CN,US,13
GE,US,12
JP,US,12
US,CN,11
IL,US,11
NZ,US,9
AT,US,9
ES,US,8
GB,NL,7
KR,US,7
DE,CH,7
CL,US,7
US,KR,6
NL,BE,6
AU,US,5
DK,US,5
GB,ES,5
DE,GB,4
GB,IT,4
MX,US,4
SE,US,4
CH,US,4
FI,US,3
DE,BE,3
SE,NL,3
GB,SG,3
BE,US,3
DE,IL,3
US,BE,3
IT,US,3
LB,US,3
NO,US,3
IN,US,2
DE,CN,2
CN,NL,2
CN,GB,2
PH,NL,2
PH,GB,2
AT,NL,2
CA,LB,2
CN,SG,2
DE,FI,2
DE,SG,2
IL,NL,2
GB,BE,2
ZA,SG,2
JP,KR,2
CO,US,2
KR,JP,2
DE,ES,2
PL,US,2
CA,JP,2
NL,PH,2
GB,IS,2
PH,CN,2
LV,US,2
AU,SG,2
AU,CN,2
DE,AT,2
NZ,AT,2
CA,FR,2
NL,CH,2
NL,AT,2
FR,US,2
IL,GB,2
GB,CH,2
NO,GB,2
SG,NL,2
SG,CN,2
NO,DE,2
GB,JP,1
KR,GR,1
ES,SG,1
KR,AU,1
KR,IT,1
GB,NO,1
NL,JP,1
GB,GR,1
NL,GR,1
NO,JP,1
ES,MX,1
NL,IT,1
NL,AU,1
NL,NO,1
GB,AU,1
FI,PL,1
KR,NO,1
FI,DK,1
CL,SG,1
CA,ES,1
FR,CH,1
PT,US,1
NO,FI,1
NO,DK,1
CL,MX,1
KR,NL,1
NO,CH,1
US,GB,1
US,IT,1
MX,GB,1
NO,AU,1
KR,GB,1
NO,GR,1
JP,IT,1
NO,IT,1
JP,GR,1
NO,BE,1
CN,MX,1
TR,US,1
CN,CL,1
CN,ES,1
NL,IS,1
NL,ES,1
IS,ES,1
AU,ES,1
CN,PL,1
DE,PL,1
FI,SG,1
FI,MX,1
FI,CL,1
FI,ES,1
DE,CL,1
DE,MX,1
GB,PH,1
AT,CH,1
PL,ES,1
IL,PH,1
JP,AU,1
FI,CN,1
GR,AU,1
GR,IT,1
GR,US,1
AU,IT,1
AT,ES,1
ES,CL,1
PL,CL,1
PL,SG,1
KR,SG,1
TH,US,1
CO,AT,1
US,DE,1
US,FI,1
PL,MX,1
FI,BE,1
TW,KR,1
CA,DK,1
CN,JP,1
GE,NL,1
KR,CN,1
CH,PH,1
AU,GB,1
SE,TH,1
US,AR,1
GE,CH,1
US,DK,1
GE,CN,1
DK,CN,1
DE,PH,1
DE,ZA,1
PH,BE,1
PH,ZA,1
PH,SG,1
CN,BE,1
GE,GB,1
GE,PH,1
NO,IS,1
CA,DE,1
GB,DK,1
SE,AR,1
CO,ES,1
CL,NL,1
NO,NL,1
NO,AT,1
AT,SG,1
CA,GB,1
DE,SE,1
PH,AR,1
AU,NL,1
CL,GB,1
US,AU,1
TW,US,1
TW,CN,1
GE,LB,1
CN,ZA,1
GB,ZA,1
NL,ZA,1
UG,US,1
CY,LB,1
GB,LB,1
KR,CL,1
DE,GR,1
GR,GB,1
ET,UG,1
ET,US,1
NL,DK,1
NL,SG,1
FR,DK,1
IT,NL,1
IT,PH,1
SG,ES,1
CA,IT,1
US,CH,1
CH,BE,1
CY,GB,1
KE,US,1
AU,KE,1
SG,KR,1
BE,ZA,1
BE,SG,1
ZA,US,1
CY,BE,1
ZA,PH,1
SG,PH,1
AT,SE,1
AT,DK,1
SE,DK,1
MX,IT,1
CA,IL,1
DE,TK,1
NL,CN,1
PT,ES,1
CL,AT,1
MX,SG,1
