,haley,haleyp,jeff,jaemin,matthew,jongmin,Same
0,M,M,M,M,M,M,True
1,F,F,F,F,F,F,True
2,F,F,F,F,F,F,True
3,M,M,M,M,M,M,True
4,F,F,F,F,F,F,True
5,F,F,F,F,F,F,True
6,M,M,M,M,M,M,True
7,M,M,M,M,M,M,True
8,M,M,M,M,M,M,True
9,F,F,F,F,F,F,True
10,M,M,M,M,M,M,True
11,M,M,M,M,M,M,True
12,M,M,M,M,M,M,True
13,M,M,M,M,M,M,True
14,M,M,M,M,M,M,True
15,M,M,M,M,M,M,True
16,M,M,M,M,M,M,True
17,F,F,F,F,F,F,True
18,F,F,F,F,F,F,True
19,M,M,M,M,M,M,True
20,M,M,M,M,M,M,True
21,F,F,F,F,F,F,True
22,F,F,F,F,F,F,True
23,M,M,M,M,M,M,True
24,M,M,M,M,M,M,True
25,M,M,M,M,M,M,True
26,M,M,M,M,M,M,True
27,F,F,F,F,F,F,True
28,M,M,M,M,M,M,True
29,M,M,M,M,M,M,True
30,M,M,M,M,M,M,True
31,M,M,M,M,M,M,True
32,F,F,F,F,F,F,True
33,M,M,M,M,M,M,True
34,F,F,F,F,F,F,True
35,F,F,F,F,F,F,True
36,M,M,M,M,M,M,True
37,M,M,M,M,M,M,True
38,M,M,M,M,M,M,True
39,F,F,F,F,F,F,True
40,F,F,F,F,F,F,True
41,M,M,M,M,M,M,True
42,M,M,M,M,F,M,False
43,M,M,M,M,M,M,True
44,F,F,F,F,F,F,True
45,M,M,M,M,M,M,True
46,M,M,M,M,M,M,True
47,M,M,M,M,M,M,True
48,F,F,F,F,F,F,True
49,M,M,M,M,M,M,True
50,M,M,M,M,M,M,True
51,M,M,M,M,M,M,True
52,F,F,F,F,F,F,True
53,F,F,F,F,F,F,True
54,F,F,F,F,F,F,True
55,M,M,M,M,M,M,True
56,F,F,F,F,F,F,True
57,M,M,M,M,M,M,True
58,F,F,F,F,F,F,True
59,F,F,F,F,F,F,True
60,M,M,M,M,M,M,True
61,F,F,F,F,F,F,True
62,F,F,F,F,F,F,True
63,M,M,M,M,M,M,True
64,M,M,M,F,M,U,False
65,M,M,M,M,M,M,True
66,M,M,M,M,M,M,True
67,F,F,F,F,F,F,True
68,M,M,M,M,M,M,True
69,M,M,M,U,M,M,False
70,M,M,M,U,M,M,False
71,F,F,F,F,F,F,True
72,F,F,F,F,F,F,True
73,F,F,F,F,F,F,True
74,F,F,F,F,F,F,True
75,M,M,M,M,M,M,True
76,F,F,F,F,F,F,True
77,F,F,F,F,F,F,True
78,F,F,F,F,F,F,True
79,F,F,F,F,F,F,True
80,F,F,F,F,F,F,True
81,F,F,F,F,F,F,True
82,M,M,M,M,M,M,True
83,M,M,U,F,M,M,False
84,F,F,F,F,F,F,True
85,M,M,M,M,M,M,True
86,F,F,F,F,F,F,True
87,M,M,M,M,M,M,True
88,F,F,F,F,F,F,True
89,M,M,M,M,M,M,True
90,M,M,M,M,M,M,True
91,M,M,M,M,M,M,True
92,M,M,M,M,M,M,True
93,M,M,M,M,M,M,True
94,M,M,M,M,M,M,True
95,F,F,F,F,F,F,True
96,M,M,M,M,M,M,True
97,F,F,F,F,F,F,True
