haley,haleyp,jeff,jaemin,matthew
M,M,M,M,m
F,F,F,F,f
F,F,F,F,f
M,M,M,M,m
F,F,F,F,f
F,F,F,F,f
M,M,M,M,m
M,M,M,M,m
M,M,M,M,m
F,F,F,F,f
M,M,M,M,m
M,M,M,M,m
M,M,M,M,m
M,M,M,M,m
M,M,M,M,m
M,M,M,M,m
M,M,M,M,m
F,F,F,F,f
F,F,F,F,f
M,M,M,M,m
M,M,M,M,m
F,F,F,F,f
F,F,F,F,f
M,M,M,M,m
M,M,M,M,m
M,M,M,M,m
M,M,M,M,m
F,F,F,F,f
M,M,M,M,m
M,M,M,M,m
M,M,M,M,m
M,M,M,M,m
F,F,F,F,f
M,M,M,M,m
F,F,F,F,f
F,F,F,F,f
M,M,M,M,m
M,M,M,M,m
M,M,M,M,m
F,F,F,F, f
F,F,F,F,f
M,M,M,M,m
M,M,M,M,f
M,M,M,M,m
F,F,F,F,f
M,M,M,M,m
M,M,M,M,m
M,M,M,M,m
F,F,F,F,f
M,M,M,M,m
M,M,M,M,m
M,M,M,M,m
F,F,F,F,f
F,F,F,F,f
F,F,F,F,f
M,M,M,M,m
F,F,F,F,f
M,M,M,M,m
F,F,F,F,f
F,F,F,F,f
M,M,M,M,m
F,F,F,F,f
F,F,F,F,f
M,M,M,M,m
M,M,M,F,m
M,M,M,M,m
M,M,M,M,m
F,F,F,F,f
M,M,M,M,m
M,M,M,U,m
M,M,M,U,m
F,F,F,F,f
F,F,F,F,f
F,F,F,F,f
F,F,F,F,f
M,M,M,M,m
F,F,F,F,f
F,F,F,F,f
F,F,F,F,f
F,F,F,F,f
F,F,F,F,f
F,F,F,F,f
M,M,M,M,m
M,M,U,F,m
F,F,F,F,f
M,M,M,M,m
F,F,F,F,f
M,M,M,M,m
F,F,F,F,f
M,M,M,M,m
M,M,M,M,m
M,M,M,M,m
M,M,M,M,m
M,M,M,M,m
M,M,M,M,m
F,F,F,F,f
M,M,M,M,m
F,F,F,F,f
F,F,F,F,f
M,M,M,M,m
F,F,F,F,f
F,F,F,F,f
M,M,M,M,m
M,M,F,M,m
F,F,F,F,f
M,M,F,M,m
F,F,F,F,f
M,M,M,M,m
M,M,M,M,m
M,M,M,M,m
F,F,F,F,f
M,M,M,M,m
F,F,F,F,f
F,F,F,F,f
M,M,M,M,m
M,M,M,M,m
M,M,M,M,m
M,M,M,M,m
F,F,F,F,f
F,F,M,U,f
F,F,F,F,f
M,M,M,M,m
M,M,M,M,m
M,M,M,M,m
F,F,F,F,f
F,F,F,F,f
F,F,F,F,f
F,F,F,F,f
M,M,M,M,m
M,M,M,M,m
F,F,F,F,f
M,M,M,M,m
M,M,M,M,m
F,F,F,F,f
M,M,M,M,m
F,F,F,F,f
M,M,M,M,m
M,M,M,M,m
F,F,F,F,f
F,F,F,F,f
F,F,F,F,f
M,M,M,M,m
F,F,F,F,f
F,F,M,F,f
M,M,M,M,m
F,F,F,F,f
M,M,M,M,m
F,M,M,U,f
F,F,F,F,f
M,M,M,M,m
F,F,F,F,f
F,F,F,F,f
M,M,M,M,m
M,M,M,M,m
F,F,F,F,f
F,F,F,F,f
F,F,F,F,f
F,F,F,F,f
F,F,F,F,f
F,F,M,M,f
F,F,F,F,f
M,M,M,M,m
M,M,M,M,m
M,M,M,M,m
M,M,M,M,m
F,F,F,F,f
M,M,M,M,m
F,F,F,F,f
M,M,M,M,m
M,M,M,M,m
F,F,F,F,f
F,F,F,F,f
F,F,F,F,f
M,M,M,M,m
M,M,M,M,m
F,F,F,F,f
F,F,F,F,f
M,M,M,M,m
F,F,F,F,f
F,F,F,F,f
M,M,M,U,m
F,F,F,F,f
F,F,F,F,f
M,M,M,M,m
F,F,F,F,m
F,F,F,F,f
M,M,M,M,m
F,M,M,M,m
F,F,F,F,f
M,M,F,M,m
M,M,M,M,m
M,M,M,M,m
F,F,F,F,f
F,F,F,F,f
M,M,M,M,m
F,F,F,F,f
F,F,F,F,f
M,M,M,U,m
M,M,M,M,m
F,F,F,F,f
