journal,issueURL,volumn,issue,issueText,month,year,category,title,url,doi,pages,abstract,abstract_para_num,sci_hub,type
Journal of Communication,https://academic.oup.com/joc/issue/38/1?browseBy=volume,Volume 38,Issue 1,"Issue 1, March 1988, Pages 2–192",March,1988,Symposium,"Integrated Services Digital Networks: Concepts, Policies, and Emerging Issues",https://academic.oup.com/joc/article/38/1/29/4210489,10.1111/j.1460-2466.1988.tb02034.x,29–49,"Western European nations, particularly France and Germany, bate advanced centralized planning for the introduction of ISDN, but in the United States trial have proceeded slowly due to a luck of universal standards and the state of deregulatory policy.",1.0,https://sci-hub.se/10.1111/j.1460-2466.1988.tb02034.x,
Journal of Communication,https://academic.oup.com/joc/issue/6/3?browseBy=volume,Volume 6,Issue 3,"Issue 3, September 1956, Pages 95–144",September,1956,Research Notes,Research Notes,https://academic.oup.com/joc/article/6/3/140/4609645,10.1111/j.1460-2466.1956.tb02484.x,140–141,,,https://sci-hub.se/10.1111/j.1460-2466.1956.tb02484.x,
Communication Theory,https://academic.oup.com/ct/issue/31/1?browseBy=volume,Volume 31,Issue 1,"Issue 1, February 2021, Pages 1–149",February,2021,Original Articles,Theorizing News Literacy Behaviors,https://academic.oup.com/ct/article/31/1/1/5867271,10.1093/ct/qtaa005,1–21,"Despite renewed interest in news literacy (NL) as a way to combat mis- and dis-information, existing scholarship is plagued by insufficient theory building and inadequate conceptualization of both “NL” and its application. We address this concern by offering a concise definition of NL and suggest five key knowledge and skill domains that comprise this literacy. We distinguish NL from its application to behaviors that communication scholars have been interested in, including news exposure, verification, and identifying misinformation. We propose an adapted Theory of Planned Behavior (TPB) to include NL in addition to the existing components (attitudes towards the behavior, social norms, perceived behavioral control) when modeling NL Behaviors. We discuss how this model can unite scholars across subfields and propose a research agenda for moving scholarship forward.",1.0,https://sci-hub.se/10.1093/ct/qtaa005,
Journal of Communication,https://academic.oup.com/joc/issue/41/4?browseBy=volume,Volume 41,Issue 4,"Issue 4, December 1991, Pages 2–136",December,1991,Articles,Framing U.S. Coverage of International News: Contrasts in Narratives of the KAL and Iran Air Incidents,https://academic.oup.com/joc/article/41/4/6/4210052,10.1111/j.1460-2466.1991.tb02328.x,6–27,,,https://sci-hub.se/10.1111/j.1460-2466.1991.tb02328.x,
Journal of Communication,https://academic.oup.com/joc/issue/29/4?browseBy=volume,Volume 29,Issue 4,"Issue 4, December 1979, Pages 3–226",December,1979,Satellites for Rural Development,The Cultural Component of SITE,https://academic.oup.com/joc/article/29/4/106/4371772,10.1111/j.1460-2466.1979.tb01751.x,106–113,The realities of rural village life in India had a direct effect upon the way people viewed television and the information it presented.,1.0,https://sci-hub.se/10.1111/j.1460-2466.1979.tb01751.x,
Journal of Communication,https://academic.oup.com/joc/issue/27/4?browseBy=volume,Volume 27,Issue 4,"Issue 4, December 1977, Pages 3–229",December,1977,The Far North,ESCD/Alaska: An Educational Demonstration,https://academic.oup.com/joc/article/27/4/166/4553982,10.1111/j.1460-2466.1977.tb01873.x,166–172,,,https://sci-hub.se/10.1111/j.1460-2466.1977.tb01873.x,
"Communication, Culture and Critique",https://academic.oup.com/ccc/issue/12/2?browseBy=volume,Volume 12,Issue 2,"Issue 2, June 2019, Pages 167–304",June,2019,Original Articles,The Mainstream Cult of Fifty Shades of Grey: Hailing Multiple Women Audiences,https://academic.oup.com/ccc/article/12/2/213/5486430,10.1093/ccc/tcz017,213–229,"Fifty Shades of Grey (FSOG) is argued to be a female-focused mainstream cult film that deliberately fosters a simultaneity of viewing modes. This multiple address highlights how the lauded qualities of cult texts are standard in feminine narratives that need to appeal to a large cross section of women. Cult discourse still depends on misogyny and masculinized distinction even when the mainstream mode seems to break down gendered fandom. Contradictions emerge because cult was traditionally defined against the mindless consuming of women. However, the cultish consumption patterns for FSOG are deliberately fostered by merchandising strategies. Thus, the same element that shows cult tendencies is used to denigrate the film as the antithesis of cult: women as consumers.",1.0,https://sci-hub.se/10.1093/ccc/tcz017,
Journal of Communication,https://academic.oup.com/joc/issue/41/2?browseBy=volume,Volume 41,Issue 2,"Issue 2, June 1991, Pages 3–240",June,1991,Articles,Soviet Television and the Structure of Broadcasting Authority,https://academic.oup.com/joc/article/41/2/172/4210106,10.1111/j.1460-2466.1991.tb02316.x,172–184,,,https://sci-hub.se/10.1111/j.1460-2466.1991.tb02316.x,
Communication Theory,https://academic.oup.com/ct/issue/17/1?browseBy=volume,Volume 17,Issue 1,"Issue 1, February 2007, Pages 1–91",February,2007,Special Issue Articles,Of Glitch and Men: The Place of the Human in the Successful Integration of Failure and Noise in the Digital Realm,https://academic.oup.com/ct/article/17/1/26/4098675,10.1111/j.1468-2885.2007.00286.x,26–42,"Linking the concept of high-fidelity reproduction to histories of representation, we suggest that the former contradicts widely held beliefs about the nature of representation throughout the 20th century. Through analyses of advertisements for certain sound reproduction technologies at different points in history, however, we propose that a shift is taking place that complicates the high-fidelity ideal. This ideal is complicated further still in the musical genre known as glitch, but the full extent of this problematization can only be apprehended through an analysis of the material ontology of the technology used to create this music. Digital technology thus only appears to surpass all previous standards of high-fidelity reproduction because it displaces a human perceptive faculty into the technological apparatus itself.",1.0,https://sci-hub.se/10.1111/j.1468-2885.2007.00286.x,
"Communication, Culture and Critique",https://academic.oup.com/ccc/issue/14/4?browseBy=volume,Volume 14,Issue 4,"Issue 4, December 2021, Pages 551–695",December,2021,Original Articles,“My Money and My Heart”: Buying a Birkin and Boundary Work Online,https://academic.oup.com/ccc/article/14/4/639/6308225,10.1093/ccc/tcab033,639–656,"YouTube videos document the purchase and “unboxing” of status goods, highlighting the intense emotional fervor that follows. Commenters respond with praise while expressing envy for the goods on their person. Taken together, online videos and the comments that attend them raise a number of questions about how we evaluate fashion purchases and the boundaries and inequalities these purchases bring to light. Using a sample of 10 widely viewed online videos and over 2,700 public comments in reply to these, I provide an analysis of boundary work in a context of extreme privilege. I do this with a critical eye towards the ways in which commenters leverage envy and aspiration to both bridge boundaries and draw distinctions online.",1.0,https://sci-hub.se/10.1093/ccc/tcab033,
