journal,issueURL,volumn,issue,issueText,month,year,category,title,url,doi,pages,abstract,abstract_para_num,sci_hub,type
Journal of Communication,https://academic.oup.com/joc/issue/27/3?browseBy=volume,Volume 27,Issue 3,"Issue 3, September 1977, Pages 3–240",September,1977,Sports: The Medium is the Stadium,The Interdependence of Sports and Television,https://academic.oup.com/joc/article/27/3/128/4553959,10.1111/j.1460-2466.1977.tb02138.x,128–132,,,https://sci-hub.se/10.1111/j.1460-2466.1977.tb02138.x,
Journal of Computer-Mediated Communication,https://academic.oup.com/jcmc/issue/18/4?browseBy=volume,Volume 18,Issue 4,"Issue 4, 1 July 2013, Pages 399–519",July,2013,Original Article,Expertise Recognition and Influence in Intercultural Groups: Differences Between Face-to-Face and Computer-Mediated Communication,https://academic.oup.com/jcmc/article/18/4/437/4067500,10.1111/jcc4.12018,,"Expertise recognition is challenging in teamwork, particularly in intercultural collaboration. This research seeks to investigate how cultural differences in communication styles may affect expertise recognition and influence in face-to-face (FtF) versus text-based computer-mediated communication (CMC). Using experimental intercultural groups, we found that in FtF groups East Asian experts had a lower participation rate, and were perceived as less competent, less confident, and less influential than experts from Western culture. No such differences occurred in CMC. The results support mediated moderation effect of perceived confidence on expert influence such that changes in perceptions of Chinese and American experts' confidence accounted for their different levels of influence in CMC versus FtF. No such effect was found with participation rate.",1.0,https://sci-hub.se/10.1111/jcc4.12018,
Human Communication Research,https://academic.oup.com/hcr/issue/8/4?browseBy=volume,Volume 8,Issue 4,"Issue 4, June 1982, Pages 299–389",June,1982,Articles,Awkward Silences: Behavioral Antecedents and Consequences of the Conversational Lapse,https://academic.oup.com/hcr/article/8/4/299/4587869,10.1111/j.1468-2958.1982.tb00669.x,299–316,"Audio tape-recordings of 30-minute conversations between pairs of strangers (N=90) were scored for the frequency and duration of conversational lapses, interactive silences of three or more seconds occurring at the recognizable completion of a turn-constructional unit. Ten-utterance segments of conversation immediately prior and immediately subsequent to lapses were transcribed from the tapes of 45 of the conversations characterized by multiple lapses. Pre-and post lapse behaviors were coded as (A) (B) discloses, questions, edifies, acknowledges, advises, interprets, confirms, reflects. Also coded were gaps and laughter outbursts. Lag sequential analysis of the pre lapse data indicated that behavior sequences prior to lapses were characterized by a pattern of “minimal response” by one of the participants. Post lapse sequences were characterized by the presence of question-answer adjacency pairs.",1.0,https://sci-hub.se/10.1111/j.1468-2958.1982.tb00669.x,
Journal of Communication,https://academic.oup.com/joc/issue/6/2?browseBy=volume,Volume 6,Issue 2,"Issue 2, June 1956, Pages 47–92",June,1956,Articles,An Introductory Course in Mass Communication,https://academic.oup.com/joc/article/6/2/56/4609608,10.1111/j.1460-2466.1956.tb02469.x,56–62,,,https://sci-hub.se/10.1111/j.1460-2466.1956.tb02469.x,
Journal of Communication,https://academic.oup.com/joc/issue/8/3?browseBy=volume,Volume 8,Issue 3,"Issue 3, September 1958, Pages 99–148",September,1958,Articles,An Analysis of Interpretative Communication by Management,https://academic.oup.com/joc/article/8/3/99/4587432,10.1111/j.1460-2466.1958.tb01140.x,99–105,,,https://sci-hub.se/10.1111/j.1460-2466.1958.tb01140.x,
Journal of Computer-Mediated Communication,https://academic.oup.com/jcmc/issue/19/4?browseBy=volume,Volume 19,Issue 4,"Issue 4, 1 July 2014, Pages 727–1052",July,2014,Original Article,Communicating Through Location: The Understood Meaning of the Foursquare Check-in,https://academic.oup.com/jcmc/article/19/4/890/4067581,10.1111/jcc4.12087,,"Location-based social networks (LBSNs) are mobile applications that allow people to share their physical location with friends through their mobile device. The sharing of location is a relatively new form of computer-mediated communication, and there is a lack of existing research examining the coordination practices of people using social location sharing services. This article reports on qualitative interviews with frequent users of the LBSN Foursquare to show both how LBSNs complicate views of the relative “placelessness” of traditional mobile communication and how the design of Foursquare complicates its utility as a mobile coordination tool.",1.0,https://sci-hub.se/10.1111/jcc4.12087,
Journal of Communication,https://academic.oup.com/joc/issue/26/1?browseBy=volume,Volume 26,Issue 1,"Issue 1, March 1976, Pages 5–176",March,1976,Explicit Sex—Liberation or Exploitation?,Efects of Quantification in Scientific Writing,https://academic.oup.com/joc/article/26/1/67/4553715,10.1111/j.1460-2466.1976.tb01359.x,67–69,,,https://sci-hub.se/10.1111/j.1460-2466.1976.tb01359.x,
Journal of Communication,https://academic.oup.com/joc/issue/18/3?browseBy=volume,Volume 18,Issue 3,"Issue 3, September 1968, Pages 195–319",September,1968,Articles,A Study of Recall and Retention of Accelerated Lecture Presentation,https://academic.oup.com/joc/article/18/3/283/4560864,10.1111/j.1460-2466.1968.tb00077.x,283–287,"Subjects were 118 students in Human Behavior and Development classes at State University College at Buffalo. Two lectures, which represented part of the course content, were recorded by the Ss’regular professor. Ss were divided into three groups. Lecture number one was presented to Group A (control) at normal word speed (21 minutes duration). The same lecture was presented to Group B (experimental), but at increased word speed (14 minutes duration). Group C (non-treatment) was not exposed to the tape recorded lecture. Rotational design was used for the second lecture presentation to adjust for possible inter-group differences. A thirty item recall test was administered to groups A and B immediately after presentation, and to the non-treatment group. Two to three weeks after each lecture a twenty item retention test was administered to groups A and B. Analysis of variance was computed on the raw test scores of control, experimental, and non-treatment groups for Recall Test I and II. A significant F-ratio (p <.001) was found for group comparisons on both tests. T-tests were calculated on the raw test scores of control and experimental groups for Recall Test I, Recall Test II, Retention Test I and Retention Test II. The results of these calculations did not demonstrate any significant differences between control and experimental groups for any of the four tests. It appears that lecture presentations, on a college level, can be increased in word rate, with a reduction in presentation time by one-third without any significant loss in recall or retention.",1.0,https://sci-hub.se/10.1111/j.1460-2466.1968.tb00077.x,
Communication Theory,https://academic.oup.com/ct/issue/26/1?browseBy=volume,Volume 26,Issue 1,"Issue 1, February 2016, Pages 1–101",February,2016,Original Articles,Ethical Frameworks and Ethical Modalities: Theorizing Communication and Citizenship in a Fluid World,https://academic.oup.com/ct/article/26/1/1/4061180,10.1111/comt.12062,1–20,,,https://sci-hub.se/10.1111/comt.12062,
Human Communication Research,https://academic.oup.com/hcr/issue/18/4?browseBy=volume,Volume 18,Issue 4,"Issue 4, June 1992, Pages 499–649",June,1992,Articles,Developing and Testing Rational Models of Message Design,https://academic.oup.com/hcr/article/18/4/637/4575835,10.1111/j.1468-2958.1992.tb00575.x,637–649,,,https://sci-hub.se/10.1111/j.1468-2958.1992.tb00575.x,
