,hongtao,jeff,kristen,Same
0,R,R,R,True
1,R,R,R,True
2,M,M,M,True
3,M,M,M,True
4,R,R,R,True
5,M,M,M,True
6,R,R,R,True
7,R,R,R,True
8,R,R,R,True
9,R,R,R,True
10,R,R,R,True
11,R,R,R,True
12,R,R,R,True
13,R,R,R,True
14,R,R,R,True
15,R,R,R,True
16,R,R,R,True
17,R,R,R,True
18,R,R,R,True
19,R,R,R,True
20,R,R,R,True
21,R,R,R,True
22,R,R,R,True
23,R,R,R,True
24,R,R,R,True
25,R,R,R,True
26,R,R,R,True
27,R,R,R,True
28,R,R,R,True
29,R,R,R,True
30,R,R,R,True
31,R,R,R,True
32,R,R,R,True
33,R,R,R,True
34,R,M,M,False
35,R,R,R,True
36,R,R,R,True
37,R,R,R,True
38,R,R,R,True
39,R,R,R,True
40,R,R,R,True
41,R,R,R,True
42,R,R,R,True
43,R,R,R,True
44,M,R,R,False
45,R,R,R,True
46,R,R,R,True
47,R,R,R,True
48,R,R,R,True
49,R,R,R,True
50,R,R,R,True
51,R,R,R,True
52,M,M,M,True
53,R,R,R,True
54,R,R,R,True
55,R,R,R,True
56,R,R,R,True
57,R,R,R,True
58,R,R,R,True
59,M,M,M,True
60,M,M,M,True
61,M,M,M,True
62,M,R,R,False
63,R,R,R,True
64,R,R,R,True
65,R,R,R,True
66,M,R,R,False
67,R,R,R,True
68,R,R,R,True
69,M,R,R,False
70,M,M,M,True
71,R,R,R,True
72,R,R,R,True
73,R,R,R,True
74,R,R,R,True
75,R,R,R,True
76,R,R,R,True
77,R,R,R,True
78,R,R,R,True
79,R,R,R,True
80,R,R,R,True
81,R,R,R,True
82,M,R,R,False
83,R,R,R,True
84,R,R,R,True
85,R,R,R,True
86,R,R,R,True
87,R,R,R,True
88,M,M,M,True
89,R,R,R,True
90,R,R,R,True
91,R,R,R,True
92,M,M,M,True
93,M,R,R,False
94,M,M,M,True
95,M,M,R,False
96,M,R,R,False
97,M,M,M,True
98,M,M,M,True
99,M,M,M,True
